baseadas-em-experiencias-de-demissao
"",,,,,,https://www.pacolivros.com.br/interfaces-entre-cena-teatral-e-
Interfaces entre Cena Teatral e Pedagogia,Robson Rosseto,Artes e Fotografia,R$,"45,90","R$ 22,95",
"",,,,,,pedagogia-a-percepcao-sensorial-na-formacao-do-espectador-artista-
"",,,,,,https://www.pacolivros.com.br/blues-e-hip-hop-uma-perspectiva-
Blues e hip hop,Thífani Postali Jacinto,Artes e Fotografia,R$,"42,90","R$ 21,45",
"",,,,,,folkcomunicacional
"",,,,,,https://www.pacolivros.com.br/sururu-na-cidade-dialogos-interartes-
Sururu na Cidade,Beatriz Da Silva Lopes Pereira,Artes e Fotografia,R$,"52,90","R$ 26,45",
"",,,,,,em-mario-de-andrade-e-pixinguinha
"Senhoras e Senhores, com Vocês o Grotesco",,,,,,https://www.pacolivros.com.br/senhoras-e-senhores-com-voces-o-
"",Leandro Lagos Santos,Artes e Fotografia,R$,"42,90","R$ 21,45",
Tragicômico no Palhaço!,,,,,,grotesco-tragicomico-no-palhaco
"",,,,,,https://www.pacolivros.com.br/A-musica-como-instrumento-de-
A música como instrumento de poder,Daisy De Oliveira,Artes e Fotografia,R$,"44,90","R$ 22,45",
"",,,,,,poder
Linhagens e Noções Fundamentais de Improvisação,,,,,,https://www.pacolivros.com.br/linhagens-e-nocoes-fundamentais-de-
"",Sandro De Cássio Dutra,Artes e Fotografia,R$,"55,90","R$ 27,95",
Teatral no Brasil,,,,,,improvisacao-teatral-no-brasil-leituras-em-boal-e-burnier
"",,,,,,https://www.pacolivros.com.br/artes-da-cena-estudos-sobre-atuacao-
Artes da Cena,Narciso Larangeira Telles Da Silva,Artes e Fotografia,R$,"44,90","R$ 22,45",
"",,,,,,e-encenacao
"",,,,,,https://www.pacolivros.com.br/badenbaden-modelo-de-acao-e-
BadenBaden,Vicente Concilio,Artes e Fotografia,R$,"46,90","R$ 23,45",
"",,,,,,encenacao-no-processo-com-a-peca-didatica-de-bertolt-brecht
Corpo e Diásporas Performativas,Daniel Santos Costa,Artes e Fotografia,R$,"52,90","R$ 26,45",https://www.pacolivros.com.br/Corpo-e-Diasporas-Performativas
"",Michelle Nascimento Cabral,,,,,https://www.pacolivros.com.br/processos-comunicacionais-no-teatro-
Processos comunicacionais no teatro de rua,,Artes e Fotografia,R$,"52,90","R$ 26,45",
"",Fonseca,,,,,de-rua-performatividade-e-espaco-publico
"",,,,,,https://www.pacolivros.com.br/o-campo-do-filme-religioso-cinema-
O Campo do Filme Religioso,Luiz Antonio Vadico,Artes e Fotografia,R$,"59,90","R$ 29,95",
"",,,,,,religiao-e-sociedade
"",,,,,,https://www.pacolivros.com.br/cinema-historia-e-melancolia-
"Cinema, História e Melancolia",Salatiel Ribeiro Gomes,Artes e Fotografia,R$,"49,90","R$ 24,95",
"",,,,,,memorias-da-ultima-ditadura-militar-argentina
"",Luciana Carolina Fernandes De,,,,,https://www.pacolivros.com.br/da-sala-de-estar-a-sala-de-aula-
Da Sala de Estar à Sala de Aula,,Artes e Fotografia,R$,"36,90","R$ 18,45",
"",Faria,,,,,educacao-musical-por-meio-de-jogos-eletronicos
