"TítuloAutorPreço                  de capaPreço com desconto 50%",,,
"MÉTODO PARA PISTÃO, TROMBONE E BOMBARDINO",Amadeu Russo,"R$ 52,00","R$ 26,00"
MÉTODO PRÁTICO PARA CAVAQUINHO,Waldir Azevedo,"R$ 37,00","R$ 18,50"
MÉTODO PRÁTICO PARA VIOLÃO - PARAGUASSÚ,Paraguassú,"R$ 26,00","R$ 13,00"
MÉTODO PRINCE - VOL. 1,Adamo Prince,"R$ 116,00","R$ 58,00"
MÉTODO PRINCE - VOL. 2,Adamo Prince,"R$ 116,00","R$ 58,00"
METODO PRINCE  VOL. 4,Adamo Prince,"R$ 96,00","R$ 48,00"
MÉTODO RÁPIDO PARA TOCAR TECLADO - VOL. 1,Mário Mascarenhas,"R$ 63,00","R$ 31,50"
MÉTODO RÁPIDO PARA TOCAR TECLADO - VOL. 2,Mário Mascarenhas,"R$ 63,00","R$ 31,50"
MÉTODO RÁPIDO PARA TOCAR TECLADO - VOL. 3,Mário Mascarenhas,"R$ 63,00","R$ 31,50"
MÉTODO SCHMOLL - MÚSICA PARA ÓRGÃO,Ana Mary de Cervantes,"R$ 61,00","R$ 30,50"
MÉTODO SONHADORA,P. E. Amsco,"R$ 25,00","R$ 12,50"
MEU PRIMEIRO TECLADO,Cristine Prado,"R$ 72,00","R$ 36,00"
MINHA DOCE FLAUTA DOCE - 1o VOL.,Mário Mascarenhas,"R$ 67,00","R$ 33,50"
MINHA DOCE FLAUTA DOCE - 2o VOL.,Mário Mascarenhas,"R$ 67,00","R$ 33,50"
MINHAS PRIMEIRAS NOTAS AO VIOLÃO - VOL. 1,Othon G. da Rocha Filho,"R$ 72,00","R$ 36,00"
MINHAS PRIMEIRAS NOTAS AO VIOLÃO - VOL. 2,Othon G. da Rocha Filho,"R$ 72,00","R$ 36,00"
MÚSICA BRASILEIRA PARA CONJUNTOS DE FLAUTA - VOL. 1,Celso Woltzenlogel,"R$ 77,00","R$ 38,50"
MÚSICA BRASILEIRA PARA CONJUNTOS DE FLAUTA - VOL. 2,Celso Woltzenlogel,"R$ 77,00","R$ 38,50"
MÚSICA BRASILEIRA PARA CONJUNTOS DE FLAUTA - VOL. 3,Celso Woltzenlogel,"R$ 77,00","R$ 38,50"
MÚSICA BRASILEIRA PARA CONTRABAIXO,Adriano Giffoni,"R$ 61,00","R$ 30,50"
MÚSICA BRASILEIRA PARA VIOLONCELO E VIOLÃO,Gustavo Tavares e Nelson Faria,"R$ 96,00","R$ 48,00"
MÚSICA E FILOSOFIA,Lia Tomás,"R$ 55,00","R$ 27,50"
MÚSICA E MEIO AMBIENTE,Marisa T. de Oliveira Fonterrada,"R$ 55,00","R$ 27,50"
MÚSICA NOVA PARA CAVAQUINHO,Henrique Cazes,"R$ 75,00","R$ 37,50"
MÚSICA PARA ACORDEOM - TRIBUTO A DOMINGUINHOS,Roberto Bueno,"R$ 61,00","R$ 30,50"
MÚSICA PARA ACORDEOM - TRIBUTO A LUIZ GONZAGA,Roberto Bueno,"R$ 61,00","R$ 30,50"
MÚSICA PARA ACORDEOM - TRIBUTO A MÁRIO GENNARI FILHO,Roberto Bueno,"R$ 63,00","R$ 31,50"
MÚSICA PARA ACORDEOM - TRIBUTO A MARIO ZAN,Roberto Bueno,"R$ 61,00","R$ 30,50"
MÚSICA PARA ACORDEOM - TRIBUTO A SIVUCA,Roberto Bueno,"R$ 63,00","R$ 31,50"
MÚSICA PARA SAXOFONE,Jorge Polanuer,"R$ 44,00","R$ 22,00"
"MÚSICA: LEITURA, CONCEITOS, EXERCÍCIOS",Antonio Adolfo,"R$ 110,00","R$ 55,00"
MUSICALIZAÇÃO,Lilia Rosa,"R$ 63,00","R$ 31,50"
NAZARETH ESSENCIAL,Ernesto Nazareth,"R$ 52,00","R$ 26,00"
NOVO MÉTODO DE VIOLÃO - OP. 59,Matteo Carcassi,"R$ 53,00","R$ 26,50"
NOVO MÉTODO PARA PIANO - 1a PARTE,A. Schmoll,"R$ 39,00","R$ 19,50"
NOVO MÉTODO PARA PIANO - 2a PARTE,A. Schmoll,"R$ 39,00","R$ 19,50"
NOVO MÉTODO PARA PIANO - 3a PARTE,A. Schmoll,"R$ 39,00","R$ 19,50"
NOVOS CAMINHOS DA BATERIA BRASILEIRA,Sergio Gomes,"R$ 75,00","R$ 37,50"
O BARQUINHO VAI...,Bruna Fonte,"R$ 61,00","R$ 30,50"
O CAVAQUINHO - MÉTODO,Armando de Araújo ( Armandinho ),"R$ 55,00","R$ 27,50"
O LIVRO DO MÚSICO,Antonio Adolfo,"R$ 101,00","R$ 50,50"
O LIVRO DO VIOLÃO BRASILEIRO,Nelson Faria,"R$ 77,00","R$ 38,50"
O MÁGICO DOS SONS,Mário Mascarenhas,"R$ 63,00","R$ 31,50"
O MELHOR DA MPB - VERSÃO COMPACTA - VOL. I,Mário Mascarenhas,"R$ 94,00","R$ 47,00"
O MELHOR DA MPB - VERSÃO COMPACTA - VOL. II,Mário Mascarenhas,"R$ 94,00","R$ 47,00"
O MELHOR DA MPB - VERSÃO COMPACTA - VOL. III,Mário Mascarenhas,"R$ 94,00","R$ 47,00"
O MELHOR DA MÚSICA CLÁSSICA - VOL. 1,Diversos,"R$ 67,00","R$ 33,50"
O MELHOR DA MÚSICA CLÁSSICA - VOL. 2,Diversos,"R$ 67,00","R$ 33,50"
O MELHOR DA MÚSICA CLÁSSICA - VOL. 3,Diversos,"R$ 67,00","R$ 33,50"
O MELHOR DA MÚSICA CLÁSSICA - VOL. 4,Diversos,"R$ 67,00","R$ 33,50"
O MELHOR DA MÚSICA INTERNACIONAL - VOL. I,Mário Mascarenhas,"R$ 110,00","R$ 55,00"
O MELHOR DA MÚSICA POPULAR BRASILEIRA - VOL. I,Mário Mascarenhas,"R$ 110,00","R$ 55,00"
O MELHOR DA MÚSICA POPULAR BRASILEIRA - VOL. II,Mário Mascarenhas,"R$ 110,00","R$ 55,00"
O MELHOR DA MÚSICA POPULAR BRASILEIRA - VOL. III,Mário Mascarenhas,"R$ 110,00","R$ 55,00"
O MELHOR DA MÚSICA POPULAR BRASILEIRA - VOL. IV,Mário Mascarenhas,"R$ 110,00","R$ 55,00"
O MELHOR DA MÚSICA POPULAR BRASILEIRA - VOL. IX,Mário Mascarenhas,"R$ 110,00","R$ 55,00"
