Título,"Preço decapa",% Desconto,"Preço comdesconto"
DIREITO E ASPECTOS ECONOMICOS DA SOCIEDADE DA INFORMACAO,"R$55,00","60,00%","R$22,00"
"DIREITO, GESTAO E POLITICAS PUBLICAS AMBIENTAIS","R$53,00","70,00%","R$15,90"
DIRETO AO PÃO: RECEITAS CASEIRAS PARA TODAS AS HORAS,"R$132,00","50,00%","R$66,00"
DO JEITINHO DE MINAS: CULINARIA REGIONAL,"R$110,00","60,00%","R$44,00"
DOM PEDRO II NA ALEMANHA: UMA AMIZADE TRADICIONAL,"R$58,00","60,00%","R$23,20"
DOS CADERNOS DE RECEITAS AS RECEITAS DE LATINHA: INDUSTRIA E TRA,"ICARO$ 5C5U,0LI0NA","IA70,00%","R$16,50"
DRENAGEM LINFATICA MANUAL: TEORIA E PRATICA,"R$100,00","70,00%","R$30,00"
ECOBAGS: MODA E MEIO AMBIENTE,"R$74,00","70,00%","R$22,20"
ECONOMIA COMPARTILHADA: O FIM DO EMPREGO E A ASCENSÃO DO CA,"ITARL$IS6M0,0O0 DE","MU5L0T,0ID0Ã%O","R$30,00"
ECONOMIA DA QUALIDADE,"R$87,00","70,00%","R$26,10"
ECONOMIA E ECOLOGIA,"R$52,00","60,00%","R$20,80"
ECONOMIA SOCIOAMBIENTAL,"R$110,00","60,00%","R$44,00"
ECOPOLITICA INTERNACIONAL,"R$109,00","70,00%","R$32,70"
ECOSSISTEMAS FLORESTAIS: INTERACAO HOMEM-AMBIENTE,"R$168,00","60,00%","R$67,20"
EDGAR MOURA CSF 13,"R$41,00","70,00%","R$12,30"
EDUCACAO A DISTANCIA E ENSINO SUPERIOR,"R$43,00","60,00%","R$17,20"
EDUCACAO CORPORATIVA: DA TEORIA A PRATICA,"R$41,00","60,00%","R$16,40"
EDUCACAO E TRABALHO,"R$69,00","70,00%","R$20,70"
"EDUCACAO FINANCEIRA: COMO PLANEJAR, CONSUMIR, POUPAR E INVEST","RR$70,00","70,00%","R$21,00"
EDUCAÇÃO PROFISSIONAL NO BRASIL - SÍNTESE HISTÓRICA E PERSPECTIVA,"R$36,00","60,00%","R$14,40"
EDUCACAO PROFISSIONAL. SABERES DO OCIO OU SABERES,"R$86,00","70,00%","R$25,80"
E-INFOCOMUNICACAO: ESTRATEGIAS E APLICACOES,"R$91,00","70,00%","R$27,30"
EL CELLER DE CAN ROCA,"R$399,00","70,00%","R$119,70"
EL CELLER DE CAN ROCA: CRIAÇÃO DE VALOR EM EMPRESAS DE SERVIÇOS,"R$75,00","60,00%","R$30,00"
ELIMINE A GORDURA LOCALIZADA: VA DIRETO AO PONTO,"R$95,00","70,00%","R$28,50"
EM BUSCA DOS SABORES PERDIDOS,"R$139,90","50,00%","R$69,95"
EM DEFESA DA POLITICA SLP 06,"R$38,00","70,00%","R$11,40"
EMBUTIDOS: DA SOBREVIVENCIA A GASTRONOMIA,"R$89,00","70,00%","R$26,70"
"EMERGENCIA SOCIOAMBIENTAL, A","R$69,00","70,00%","R$20,70"
EMPREENDEDORISMO: ELABORE SEU PLANO DE NEGOCIO E FACA A DIFER,"NCRA$!91,00","60,00%","R$36,40"
EMPREENDER NA MATURIDADE: REINVENTE-SE,"R$70,00","50,00%","R$35,00"
ENCICLOPEDIA DA GASTRONOMIA ITALIANA,"R$207,00","50,00%","R$103,50"
ENCICLOPEDIA DA GASTRONOMIA VEGETARIANA,"R$161,00","50,00%","R$80,50"
ENCICLOPEDIA DO CHOCOLATE,"R$138,00","50,00%","R$69,00"
ENCICLOPEDIA DO CINEMA BRASILEIRO,"R$449,00","60,00%","R$179,60"
"ENCICLOPEDIA DO VINHO - VINHOS, VINHEDOS E VINICOLAS","R$199,00","60,00%","R$79,60"
ENERGIA E ARTE,"R$64,00","70,00%","R$19,20"
ENERGIA EOLICA,"R$56,00","70,00%","R$16,80"
ENERGIA NUCLEAR: DO ANATEMA AO DIALOGO,"R$46,00","70,00%","R$13,80"
ENFERMAGEM EM GINECOLOGIA E OBSTETRÍCIA,"R$55,00","60,00%","R$22,00"
