"",,,Preço com
TÍTULO ISBN,,Preço de capa,desconto
Basta ler para ser leitor?,9788535644746,"28,50","14,25"
Brincadeiras e atividades recreativas,9788535633177,"18,90","9,45"
"Brinquedoteca jogos, brinquedos e brincadeiras",9788535635959,"28,00","14,00"
Bullying em debate,9788535637991,"26,20","13,10"
Caráter educativo do movimento indígena brasileiro (197019,0) (O9)7 88535633047,"26,20","13,10"
Cartas pedagógicas,9788535643176,"19,90","9,95"
Como os professores aprendem a ressignificar sua docência?,9788535628371,"31,40","15,70"
Conto de fadas (O),9788535631371,"37,30","18,65"
Criança e poesia na pedagogia Freinet,9788535601572,"16,90","8,45"
Crianças impedidas de pensar,9788535629606,"21,90","10,95"
Criar o hábito de ler,9788535638875,"43,80","21,90"
"Cultura, poder e educação de surdos",8535616764,"34,50","17,25"
Datas comemorativas: cívicas e históricas,9788535622294,"32,50","16,25"
Dinâmicas em literatura infantil,9788535632224,"10,00","5,00"
Dinâmicas para reunião de pais,9788535624793,"28,50","14,25"
"Dinâmicas, gincanas e jogos",9788535628425,"19,50","9,75"
Diversidade religiosa no mundo atual  8o ano (livro do aluno),9788535624854,"25,10","12,55"
Diversidade religiosa no mundo atual  8o ano (livro do profess,r)9788535624861,"25,00","12,50"
Duas faces inseparáveis da educação (As): coração e razão,9788535620504,"33,00","16,50"
Educação à luz da pedagogia de Jesus de Nazaré (A),8535617353,"29,30","14,65"
Educação Ambiental & Manoel de Barros (A),9788535630558,"27,50","13,75"
Educação e Religião,9788535636130,"26,20","13,10"
Educação em pauta,9786558080770,"23,50","11,75"
Educação inclusiva: práticas pedagógicas para uma escola se,exc9lu7s8õ8e5s3 5638042,"22,50","11,25"
Educação para a paz,9788535625462,"17,80","8,90"
Educação religiosa,9788535620962,"33,90","16,95"
Educação sonora e musical: oficina de sons,9788535630879,"18,90","9,45"
Educar em valores,9788535607178,"46,80","23,40"
Educar para a convivência na diversidade,9788535624625,"21,90","10,95"
Educar para humanizar,8535617604,"25,10","12,55"
Educar perguntando,9788535623130,"27,00","13,50"
"Enfeites, presentes e ideias para o dia das mães",9788535609486,"27,00","13,50"
Ensino religioso e formação docente,9788535618440,"27,00","13,50"
Ensino religioso: aspecto legal e curricular,9788535620986,"22,10","11,05"
Ensino religioso: construção de uma proposta,9788535612684,"21,50","10,75"
Eros e psique,9788535618969,"43,80","21,90"
Escola contemporânea (A),9788535633740,"25,00","12,50"
Ética: arte de viver  Vol IV,9788535605389,"26,50","13,25"
Ética: arte de viver  Vol. I,9788535638301,"26,50","13,25"
Ética: arte de viver  Vol. II,9788535640113,"26,50","13,25"
Etiqueta sustentável,9788535638004,"16,80","8,40"
Expressões do sagrado na humanidade  7o ano (livro do aluno,9788535604344,"25,10","12,55"
Expressões do sagrado na humanidade  7o ano (livro do profe,sor)9 788535624762,"25,00","12,50"
"Filosofia, ética e educação",9788535627633,"46,80","23,40"
Folias e Folguedos do Brasil  Inclui CD,9788535626049,"35,00","17,50"
Formação de professores,9788535629941,"16,00","8,00"
Fundamentalismos,9788535623659,"21,50","10,75"
Gestão escolar e docência,9788535637151,"24,50","12,25"
Herança quilombola maranhense: histórias e estórias,9788535633184,"27,50","13,75"
Inclusão na educação (A),9788535639711,"27,50","13,75"
Introdução à literatura para crianças e jovens,9788535625622,"37,30","18,65"
Jogando com os sons e brincando com a música  vol. I  Inclui C,9788535638592,"51,80","25,90"
Jogando com os sons e brincando com a música  vol. II  Inclui,D9788535611908,"51,80","25,90"
Jogando com os sons e brincando com a música  vol. III  acom,anh9a7 C8D8535638769,"55,70","27,85"
Laboratório de redação para séries iniciais do Ensino Fundam,ntal9 788535633474,"11,00","5,50"
Laboratório do jovem escritor: gêneros literários e narração,9788535626674,"20,50","10,25"
Leitura e escrita em práticas socioeducativas,9788535638387,"26,50","13,25"
Leitura prazer,9788573114331,"33,00","16,50"
Leituras em contraponto: novos jeitos de ler,9786558080572,"21,50","10,75"
Lembranças de menina: Momentos marcantes,9788535634808,"21,50","10,75"
Linguagem e ensino: realidades que se intercruzam,9788535632552,"31,80","15,90"
Literatura para crianças e jovens no Brasil de ontem e de hoje,(A) 9788535622638,"27,50","13,75"
Malungos na escola,9788535620290,"46,80","23,40"
Mestres que seguem o mestre,9788535638097,"16,50","8,25"
Música na escola  a contribuição do ensino da música,9788535623901,"26,20","13,10"
Na tessitura dos signos contemporâneos,9788535625219,"26,50","13,25"
Nós protegemos a vida  2o ano (livro do aluno),9788535608380,"22,10","11,05"
Nós protegemos a vida  2o ano (livro do professor),9788535609967,"25,10","12,55"
