"",Contato: César Xavier,,
Quando a Arte encontra a Moda: a obra de Antoine Watteau na França do Século XVIII,Laura Ferrazza de Lima,"R$ 48,00","R$24,00"
"Quarto Fechado, O",Jane Soares de Almeida,"R$ 24,50","R$12,25"
Raça e eleições no Brasil,Luiz Augusto Campos e Carlos Machado,"R$ 38,00","R$19,00"
"Que resta das coisas, O",Ricardo Barberena (org.),"R$ 45,00","R$22,50"
"Roda da imaginação, A",Pedro Delgado,"R$ 24,50","R$12,25"
Socialismo e Liberalismo antes do fascismo,Daniela Mussi,"R$ 50,00","R$25,00"
Senhor Gelado e outras histórias,Igor Natusch,"R$ 34,00","R$17,00"
Sobre o trabalho intelectual,Renato Ortiz,"R$ 41,00","R$20,50"
Sobre o ofício do curador,Alexandre Dias Ramos (org.),"R$ 59,00","R$29,50"
Sobre pessoas velhas e coisas que passam...,"Louis Couperus (autor), Daniel Dago (tradutor)","R$ 58,00","R$29,00"
Teatro – Século XIX,João Simões Lopes Neto,"R$ 70,00","R$35,00"
Tem saída? Ensaios críticos sobre o Brasil,"Winnie Bueno, Rosana Pinheiro-Machado, Joanna","R$ 43,00","R$21,50"
Tem saída? Perspectivas LGBTI+ sobre o Brasil,"Taynah Ignacio, Andressa Mourão Duarte, GuilhermeGomes Ferreira, Joanna Burigo, Tamires de OliveiraGarcia e Winnie Bueno","R$ 50,00","R$25,00"
Tempos e memórias,Céli Regina Jardim Pinto,"R$ 49,00","R$24,50"
Tempo Dissoluto,Zaqueu Machado,"R$ 19,00","R$9,50"
Teoria e Política Feminista,"Luis Felipe Miguel, Luciana Ballestrin","R$ 51,00","R$25,50"
Todo poder aos sovietes! A revolução russa 100 anos depois,Ana Cotrim e Vera Cotrim,"R$ 49,00","R$24,50"
Três fontes das filosofias da História,Bertrand Binoche,"R$ 54,00","R$27,00"
"Trabalho e Utopia: Karl Marx, André Gorz, Jon Elster",Luiz Felipe Miguel,"R$ 30,00","R$15,00"
"Trágico no Teatro de Federico García Lorca, O",Claudio Castro Filho,"R$ 36,50","R$18,25"
"Trajetórias, Espaços e Repertórios de Intervenção Política",Elaina Tavares dos Reis,"R$ 53,00","R$26,50"
"Turismo, Políticas e Desenvolvimento Humano",Silvana Pirillo Ramos e Lluís Mundet I Cerdan (Orgs.),"R$ 38,50","R$19,25"
Uma noção ainda vaga de todo o dano,Breno Kummel,"R$ 59,00","R$29,50"
Uma confissão póstuma,Marcellus Emants (autor) Daniel Dago (tradutor) J.M.,"R$ 55,00","R$27,50"
Úrsula,Maria Firmina Dos Reis,"R$ 35,00","R$17,50"
"Velho e o Aprendiz, O: o imaginário em experiências com o AT-9",Altair Macedo Lahud Loureiro (org.),"R$ 28,00","R$14,00"
Vitimas Algozes,Joaquim Manoel de Macedo,"R$ 40,00","R$20,00"
Vidas Minúsculas de Vila Faconda,Flávio Luis Ferrarini,"R$ 26,00","R$13,00"
Walter Benjamin: barbárie e memória ética,"Ricardo Timm de Souza, Bruna de Oliveira Bortolini,","R$ 52,00","R$26,00"
