Título,Autor,"Preço decapa","Preço comdesconto"
SUICIDIO E SUAS CONSEQUENCIAS,Gerson Simões Monteiro,"R$27,36","13,68"
GÊNERO E ATIVIDADE FÍSICA,"Sebastião Josué Vôtre, organizador","R$50,40","25,20"
"RIO DE JANEIRO DE ARTUR AZEVEDO, O",Tatiana Oliveira Siciliano,"R$69,00","34,50"
CARTAS A MÃE TERRA,Fátima Branquino e Maria Aparecida Lopes,"R$28,90","14,45"
NOVOS RUMOS DA CULTURA DA MÍDIA,"João Freire Filho, Micael Herschmann","R$71,90","35,95"
DIMENSÕES E CLUSTERS DE CULTURA ORGANIZACIONAL,Adriana Victoria Garibaldi de Hilau,"R$61,15","30,58"
"MELHORES PIADAS DE SOGRA, AS","Luís Pimentel, ilustrador Amorim","R$19,00","9,50"
BENEDITA,"Maisa Mendonça, Medea Benjamin","R$48,48","24,24"
POÉTICA DAS ÁRVORES URBANAS,Ivete Farah,"R$62,00","31,00"
SOCIEDADE DA DIFERENÇA,Sérgio Luiz Pereira da Silva,"R$53,40","26,70"
"HISTÓRIA DA EDUCAÇÃO EM DEBATE, A","Sonia Castro Lopes, Miriam Waidenfeld Chaves Orgs","R$64,22","32,11"
ICONES DA SOCIEDADE MIDIATICA,José Marques de Melo e Raquel Paiva,"R$49,60","24,80"
CLUBES BRAS.FUT.E REFLEXOS FISCAIS,Piraci Ubiratan Oliveira,"R$35,50","17,75"
GOVERNANÇA CORPORATIVA,André Luiz Carvalhal da Silva,"R$45,30","22,65"
"PRAZER NO DESPRAZER, O: A TRAGÉDIA DO PROTELADOR",Claudio Fernando Mahler,"R$33,50","16,75"
"CAMISA DO SENADOR, A",Joel Silveira,"R$50,30","25,15"
MULHERES QUE NÃO FICAM SEM PILHA,Luciana Walther,"R$71,54","35,77"
"NOSSO FUTEBOL, O",Fernando Calazans,"R$51,94","25,97"
FREI CANECA,Gilberto Vilar de Carvalho,"R$55,20","27,60"
ALMANAQUE BRASIL DE TODAS AS COPAS 1914-2014,Luís Pimentel,"R$52,00","26,00"
"DESAFIO DOS MERCADOS EXTERNOS,O VOLUME II","Carlos A. Hemais, organizador","R$56,60","28,30"
"JOVENS ESTÃO INDO EMBORA?,OS",Elisa Guaraná de Castro,"R$55,00","27,50"
TEOLOGIA PARA QUÊ?,"Edson Fernando de Almeida, Luis Longuini Neto","R$43,90","21,95"
"ETICA, CIDADANIA E IMPRENSA","Raquel Paiva, organizadora","R$51,00","25,50"
"YOGA - SABEDORIA, LIBERDADE E FELICIDADE",Fatima Miranda,"R$41,18","20,59"
"DESAFIO DAS MICROFINANCAS, O",Angela da Rocha e Renato Cotta de Mello,"R$61,15","30,58"
MEU DEUS FALA COMIGO,Elizabeth Sarmento Costa,"R$27,36","13,68"
PRATICAS EDUCOMUNICATIVAS,Angela Schaun,"R$45,30","22,65"
CONSUMO E POLITIZAÇÃO: DISCURSOS PUBLICITÁRIOS E..,Mônica Machado,"R$58,00","29,00"
PERSONAGENS E IMAGENS DE UMA CIDADE,"Angela de Castro Gomes, Coordenadora","R$41,40","20,70"
