ISBN,TÍTULO,EDITORA,ASSUNTO,AUTOR,"PREÇO DECAPA","PREÇO NAFEIRA (50%)",LINK
9788571398955,"Arte, ciência e tecnologia",Editora Unesp,Artes,"DOMINGUES, DIANA","R$ 80,00","R$ 40,00",
"",,,,,,,tecnologia-DOMINGUES-DIANA-EDITORA-UNESP/p
"",,Cultura,,,,,https://www.livrariaunesp.com.br/Arte-escola-e-cidadania-
9788598605135,"Arte, escola e cidadania",,Artes,"PIMENTEL, ZITA","R$ 36,00","R$ 18,00",
"",,Acadêmica,,,,,PIMENTEL-ZITA-CULTURA-ACADEMICA/p
"",,,,,,,https://www.livrariaunesp.com.br/Arte-Educacao-como-
"",Arte/Educação como mediação,,,,,,
9788571399068,,Editora Unesp,Artes,"BARBOSA, ANA MAE","R$ 69,00","R$ 34,50",mediacao-cultural-e-social-BARBOSA-ANA-MAE-EDITORA-
"",cultural e social,,,,,,
"",,,,,,,UNES/p
"",,,,,,,https://www.livrariaunesp.com.br/Arthur-Bispo-do-
9788571399907,Arthur Bispo do Rosário,Editora Unesp,Artes,"DANTAS, MARTA","R$ 78,00","R$ 39,00",
"",,,,,,,Rosario-DANTAS-MARTA-EDITORA-UNESP/p
"",,,,"SANT'ANNA, AFFONSO",,,https://www.livrariaunesp.com.br/Artificacao-SANT-ANNA-
9788539306756,Artificação,Editora Unesp,Artes,,"R$ 22,00","R$ 11,00",
"",,,,ROMANO DE,,,AFFONSO-ROMANO-DE-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Invencoes-da-historia-
9788571390713,As Invenções da história,Editora Unesp,História,"BANN, STEPHEN","R$ 74,00","R$ 37,00",
"",,,,,,,As-BANN-STEPHEN-EDITORA-UNESP/p
"",,,Política e Relações,,,,https://www.livrariaunesp.com.br/ascensao-do--resto--A-
9788571399167,"ascensão do ""resto"", A",Editora Unesp,,"AMSDEN, ALICE H.","R$ 80,00","R$ 40,00",
"",,,Internacionais,,,,AMSDEN-ALICE-H-EDITORA-UNESP/p
"",,,,,,,https://www.livrariaunesp.com.br/Aspectos-do-novo-
