Título,Autor,"Preço decapa","Preço comdesconto"
SETE FACES DE EDUARDO COUTINHO,CARLOS ALBERTO MATTOS,"R$ 67,00","R$ 33,50"
SUB-HUMANOS,TIAGO MUNIZ CAVALCANTI,"R$ 57,00","R$ 28,50"
"SUJEITO INCOMODO, O",SLAVOJ ZIZEK,"R$ 89,00","R$ 44,50"
TEMPO COMPRADO,WOLFGANG STREECK,"R$ 55,00","R$ 27,50"
"TEMPO E O CAO, O - 2 EDICAO",MARIA RITA KEHL,"R$ 65,00","R$ 32,50"
"TEORIA DA ALIENACAO EM MARX, A - 2 ED",ISTVAN MESZAROS,"R$ 73,00","R$ 36,50"
"TEORIA DA REVOLUCAO NO JOVEM MARX, A",MICHAEL LOWY,"R$ 49,00","R$ 24,50"
TEORIA GERAL DO DIREITO E MARXISMO,PACHUKANIS,"R$ 49,00","R$ 24,50"
"TRANSPARÊNCIA DO TEMPO, A",LEONARDO PADURA,"R$ 57,00","R$ 28,50"
"UBERIZACAO, TRABALHO DIGITAL E INDISTRIA 4.0",RICARDO ANTUNES (ORG.),"R$ 59,00","R$ 29,50"
UM PORTO NO CAPITALISMO,VARIOS,"R$ 39,00","R$ 19,50"
UMA AUTOBIOGRFIA,ANGELA DAVIS,"R$ 67,00","R$ 33,50"
UNIVERSIDADE PÚBLICA E DEMOCRACIA,JOAO CARLOS SALLES,"R$ 47,00","R$ 23,50"
"URSO QUE NÃO ERA, O",FRANK TSAHLIN,"R$ 39,00","R$ 19,50"
"VELHO GRACA, O",DENIS DE MORAES,"R$ 69,00","R$ 34,50"
VENTOS DE QUARESMA,LEONARDO PADURA,"R$ 55,00","R$ 27,50"
VERDADE VENCERÁ - 2a EDIÇÃO,LUIZ INACIO LULA DA SILVA,"R$ 49,00","R$ 24,50"
VIVER É TOMAR PARTIDO,ANITA PRESTES,"R$ 59,00","R$ 29,50"
"VOO DE MINERVA, O - A CONSTRUCAO DA POLITICA",ANTONIO CARLOS MAZZEO,"R$ 45,00","R$ 22,50"
