EDITORA BRASILIENSE,,,,,
ISBN,COD BARRAS,DESCRIÇÃO,AUTOR,PREÇO 2021,PREÇO USP
9788511001570,9788511001570,O QUE E ADMINISTRACAO - 2. ED,PAULO ROBERTO PEREIRA RAYMUNDO,"39,90","19,95"
9788511001204,9788511001204,O QUE E AGRICULTURA SUSTENTAVEL,E. EHLERS,"39,90","19,95"
9788511010169,9788511010169,O QUE E ARQUITETURA,CARLOS ALBERTO CERQUEIRA LEMOS,"39,90","19,95"
9788511010466,9788511010466,O QUE E ARTE,JORGE COLI,"39,90","19,95"
9788511011067,9788511011067,O QUE E ASTROLOGIA,JUAN ALFREDO CESAR MULLER,"39,90","19,95"
9788511000740,9788511000740,O QUE E BIOETICA,DEBORA DINIZ / DIRCE GUILHEM,"39,90","19,95"
9788511001587,9788511001587,O QUE E BRINQUEDO 3. ED,PAULO DE SALLES OLIVEIRA,"39,90","19,95"
9788511011135,9788511011135,O QUE E BUDISMO,ANTONIO CARLOS ROCHA,"39,90","19,95"
9788511000672,9788511000672,O QUE E CAPITALISMO - ED. ATUAL,AFRANIO MENDES CATANI,"39,90","19,95"
9788511000351,9788511000351,O QUE E CIDADANIA 4. ED,MARIA DE LOURDES MANZINI COVRE,"39,90","19,95"
9788511012033,9788511012033,O QUE E CIDADE,RAQUEL ROLNIK,"39,90","19,95"
9788511120615,9788511120615,O QUE E CIENCIA AFINAL?,A. CHALMER,"79,00","39,50"
9788511010091,9788511010091,O QUE E CINEMA,JEAN-CLAUDE BERNARDET,"39,90","19,95"
9788511010671,9788511010671,O QUE E COMUNICACAO,JUAN ENRIQUE DIAZ BORDENAVE,"39,90","19,95"
9788511012972,9788511012972,O QUE E COMUNICACAO EMPRESARIAL,PAULO NASSAR / RUBENS FIGUEIREDO,"39,90","19,95"
9788511011005,9788511011005,O QUE E CONTRACULTURA,CARLOS ALBERTO M. PEREIRA,"39,90","19,95"
EDITORA BRASILIENSE,,,,,
ISBN,COD BARRAS,DESCRIÇÃO,AUTOR,PREÇO 2021,PREÇO USP
9788511001112,9788511001112,O QUE E COOPERATIVISMO - 2. EDICAO,GILVANDO SA LEITAO RIOS,"39,90","19,95"
9788511011555,9788511011555,O QUE E CORPO(LATRIA),WANDERLEY CODO/WILSON A.SENNE,"39,90","19,95"
