"Festa do Livro da USP - virtual 2021Edições Loyola",,,
ISBN,TÍTULO,AUTOR,PREÇO
9788515041206,Crivo de papel,"NUNES, Benedito","26,75"
9788515040575,"Crucificado encontra Dionísio (O) - Estudos sobre Kierkegaarde Nietzsche","VALLS, Alvaro L.M.","13,83"
9788515043118,"Cuidado de si, consciência do mundo","LIOGIER, Raphaël","13,83"
9788515045778,Cuidar da alma - Psicologia da educação,"FERLIGA, Paolo","22,00"
9788515019496,Cultura brasileira,"VANNUCCHI, Aldo","11,00"
9788515006960,"Cultura pós-moderna (A) - Introdução às teorias docontemporâneo","CONNOR, Steven","18,38"
9788515031108,"Cultura, interculturalidade, inculturação","ALBÓ, Xavier","6,30"
9788515017799,Cura da relação com o Pai (A),"DEGRANDIS, Robert","3,25"
9788515041237,Cura do mundo (A),"LENOIR, Frédéric","21,75"
9788515028184,Cura do ressentimento (A),"PEREIRA, Léo (Pe. Léo)","17,50"
9788515010110,Cura interior,"PEREIRA, Léo (Pe. Léo)","16,75"
9788515032310,Cura pela Eucaristia,"VEIGA, Alfredo César da","12,50"
9788515017997,Cura pela missa (A),"DEGRANDIS, Robert","20,75"
9788515017386,Cure seu coração!,"PEREIRA, Léo (Pe. Léo)","24,75"
9788515012466,Curso de liturgia,"ALMEIDA, João Carlos (Pe. Joãozinho)","20,25"
9788515044610,"Cyberbullying contra professores: dilemas da autoridade doseducadores na era da concentração dispersa","ZUIN, Antônio Alvaro Soares","14,00"
9788515037971,Da filosofia como disciplina - Desafios e perspectivas,"GALLO, Sílvio Donizetti de Oliveira","11,73"
9788515023219,Da natureza,"SANTOS, José Trindade","13,00"
9788515035175,Da reza à oração,"JONQUIERES, Guido","6,25"
9788515033355,Davi e sua história,"VOGELS, Walter","20,48"
9788515038596,De Adão a Abraão ou as errâncias do humano,"WÉNIN, André","23,28"
9788515021437,De coração a Coração - Três orações ao Coração de Jesus,"NOUWEN, Henri J. M.","4,00"
9788515043736,De Jesus ao cristianismo,"PESCE, Mauro","27,00"
9788515043897,Definição,"PERUZZI, Alberto","20,00"
9788515044764,Deificação - Caminho de humanização em Paul Evdokimov,"VIVEIROS, Rosana Araujo","15,00"
9788515001811,"Democratização da escola pública - A pedagogia crítico-socialdos conteúdos","LIBÂNEO, José C.","22,50"
9788515024353,Depressão - A dor necessária,"VEIGA, Alfredo César da","6,48"
9788515043576,Desafio do bem - 30 dias,ISELA PALUMBO COMAROVSCHI SAVIO,"I22,00"
9788515024810,Desafio do dízimo (O),"GASQUES, Jerônimo","6,13"
9788515040087,Descartes - Das paixões à moral,"SALES, Benes Alencar","16,98"
9788515045471,"Descoberta do cotidiano (A) - Heidegger, Wittgenstein e oproblema da linguagem","AQUINO, Thiago André Moura de","15,00"
9788515029532,Desconstrução e ética - Ecos de Jacques Derrida,"DUQUE-ESTRADA, Paulo Cesar","16,80"
9788515039388,Desconstruir a metafísica?,"AUBENQUE, Pierre","8,75"
9788515005888,Descubra o valor do terço,"MOHANA, João","8,00"
9788515043460,"Desenvolvimento, cultura, ética - As ideias filosóficas de MarioVieira de Mello","MARGUTTI, Paulo","12,25"
9788515033607,Despertar da consciência na civilização medieval (O),"CHENU, Marie-Dominique","5,00"
9788515042296,Destempero - Quando a vida pede mais sabor!,TATHYANA BEZERRA DE ARAUJO,"15,00"
9788515045914,Deus ama as mulheres?,"SOUPA, Anne","10,00"
9788515040926,Deus analisado - Os católicos e Freud,RICARDO TORRI DE ARAUJO,"32,00"
9788515043477,Deus desejável (O) - Proposição da fé e iniciação,"FOSSION, André","26,25"
9788515042241,Deus dos semitas (O),JOÃO EVANGELISTA MARTINS TERRA,"46,90"
9788515033898,Deus e nossa felicidade,"CASTILLO, José Maria","20,25"
9788515001064,Deus e você - A oração como relacionamento pessoal,"BARRY, William","8,25"
9788515032846,"Deus im-potente (O) - O sofrimento e o mal em confronto coma cruz","GOMES, Paulo Roberto","16,63"
9788515045266,Deus não para de nos atrair,"PIRES, Marcos Roberto","10,00"
9788515036264,Deus no pensamento filosófico,"CORETH, Emerich","41,13"
9788515037360,Deus que vem ao homem - vol. I: Do luto à revelação de Deus,"MOINGT, Joseph","40,08"
9788515037605,"Deus que vem ao homem - vol. II: Da aparição ao nascimentode Deus - Aparição","MOINGT, Joseph","31,33"
9788515039616,"Deus que vem ao homem - vol. II: Da aparição ao nascimentode Deus - Nascimento","MOINGT, Joseph","78,75"
9788515042401,Deus sabe que eu não sei,"OLIVEIRA, J. Fernandes de (Pe. Zezinho","12,78"
