TÍTULO,AUTOR,,PREÇO DE CAPA,PREÇO COM,
"",,GÊNERO,,DESCONTO,
A CANÇÃO DO LIMÃO,"Vidal Gomes, Brod",MÚSICA,"54,90",,
"",Junior & Sampaio de,,,,
"",Medeiros,,,,
"",,,,,"27,45"
PÍNDARO EPINÍCIOS E FRAGMENTOS,"trad. de RooseveltRocha","TRADUCAO/POESIACLASSICA","79,90","39,95"
POEMAS BASEADOS,"Ricardo PedrosaAlves",POESIA,"39,90","19,95"
POESIA PELA POESIA,Decio Romano,POESIA,"39,90","19,95"
PROVOCACÕES 26,"Henrique DuarteNeto",POESIA,"39,90","19,95"
QUANDO O VERÃO,"Rodrigo TadeuGonçalves",POESIA,"44,90","22,45"
QUE FIM LEVARAM TODAS AS FLORES,Otto Leopoldo Winck,ROMANCE,"64,90","32,45"
RABICÓ DE PUTO,Vinicius Comoti,POESIA,"39,90","19,95"
RESISTIR PARA EXISTIR,Teo Lima,"CIENCIAPOLITICA","54,90","27,45"
RETRATO MORTUÁRIO,Vitor Bellucci,POESIA,"49,90","24,95"
SANGA,Pedro Carrano,POESIA,"39,90","19,95"
SIMPLÍCIOS E CONFÚCIOS,Gloria Kirinus,CONTOS,"39,90","19,95"
SUPERANDO O MEDO DE NADAR,Fábio Luiz Capeletti,,"39,90","19,95"
SUPERFÍCIES IRREGULARES,Erlândia Ribeiro,CONTOS,"34,90","17,45"
TABULA RASA,,POESIA,"39,90","19,95"
TAQUIGRAFIA DA DOENÇA,Victor Hugo Turezo,POESIA,"39,90","19,95"
Teogonia – Hesíodo,"Henry Bugalho(trad.)","TRADUÇÃO/CLASSICOS","44,90","22,45"
TODOS OS SENTIDOS,João Gilberto Tatára,POESIA,"39,90","19,95"
TRANSCENDÊNCIA ZERO,Jorge Barbosa Filho,POESIA,"34,90","17,45"
TRANSVERSO,Marcos Pamplona,,,
TRAVESSIA,"Marco Aurélio deSouza",POESIA,"39,90","19,95"
TRÊS MANEIRAS DE GRITAR EM SILÊNCIO,"Felipe Vieira deGalisteo",POESIA,"39,90","19,95"
ULTRAVIOLENTA,Pilar Bu,POESIA,"29,90","14,95"
UM CARA COÇAVA AS COSTAS DA MINHA MÃE NO BAILE,Paulo Ribeiro,ROMANCE,"39,90","19,95"
UM CEGO EM BUENOS AIRES,Henry Bugalho,ROMANCE,"44,90","22,45"
UNS CONTOS NO BOLSO,Flavio Jacobsen,CONTOS,"29,90","14,95"
VÉSPERAS,"GuilhermeDerenievicz",CONTOS,"39,90","19,95"
2022,Geraldo Andrade,"POLITICA/JORNALISMO","44,70","22,35"
27 EPISÓDIOS DIANTE DO ESPELHO,Daniel Osiecki,POESIA,"44,70","22,35"
3 EM 1,"Henrique DuarteNeto",POESIA,"34,70","17,35"
92 RECEITAS PARA O MESMO MOLHO VINAGRETE,Vinicius F. Barth,POESIA,"39,90","19,95"
A Actriz A Actriz,Luís Serguilha,TEATO,"1 29,90","64,95"
A Ascensão do bolsonarismo no Brasil do Século XXI,"Cesar AntonioCalejon Ibrahim","POLITICA/JORNALISMO","59,70","29,85"
A DESCOBERTA DOS CRIZINLINS,"Francisco Paiva deCarvalho",INFANTIL,"54,00",27
A ESPERA DO NUNCA MAIS,Nicodemos Sena,ROMANCE,"1 59,90","79,95"
A Hóstia Pela Metade,Carlos Kahê,POESIA,"39,90","19,95"
A IMPUREZA DA MINHA MÃO ESQUERDA,Henry Bugalho,CONTOS,"49,70","24,85"
A Revolução Burguesa no Brasil,Florestan Fernandes,"POLITICA/JORNALISMO","78,00",39
A Saída é Pela Esquerda – Milton Alves,Milton Alves,"CIENCIAPOLITICA","44,90","22,45"
A ÚLTIMA BATALHA DE NAPOLEÃO,Alex Solnik,TEATO,"39,90","19,95"
Álbum,Samuel Delgado,,,
Amanhã Vai Ser Pior,"Helder Maldonado eMarco Bezzi","CRITICALITERARIA","49,90","24,95"
Antologia Poética da Imigração Lusófona,"Org. Lucas Augustoda Silva",POESIA,"64,90","32,45"
Apocolocintose do Divino Cláudio,"Sêneca – Trad. eNotas Frederico deSousa Silva","TRADUÇÃO/CLASSICOS","44,70","22,35"
Arsênico e Querosene,Alexandre Guarnieri,POESIA,"54,90","27,45"
As Transgressões do Amor – Maria José Vera,Maria José Vera,ROMANCE,"44,90","22,45"
Assombro Zen,"Marco Aurélio deSouza",POESIA,"34,90","17,45"
ATARAXIA,Mauro Pommer,CINEMA,"39,70","19,85"
BoraVotar,"Carlito Neto e SálvioNienkotter",POESIA,"34,90","17,45"
Box Contos da Quarentena,Vários autores,CONTOS,"1 39,90","69,95"
BRIZOLA E EU,Marino Boeira,ROMANCE,"1 09,70","54,85"
BUCÓLICO DESATINO,Sálvio Nienkötter,CONTOS,"39,90","19,95"
"CAFÉ, UMA RELAÇÃO EXTRAFORTE","Claudia CassebCasagrande",CONTOS,"34,70","17,35"
Cantei Para Você Morrer,Denize Ricardi,CONTOS,"39,90","19,95"
