Hemus,,,
Título,Autor,Preço de Capa,Preço com Desconto
Manual Técnico - desenhista e projetista de máquinas vol 3,HOLBROOK L. HORTON,"177,60","88,80"
Manual Técnico - desenhista e projetista de máquinas vol 4,J. A. NEWELL / H. L. HORTON,"177,60","88,80"
Manual universal técnica mecânica - 3 Volumes,"Holbrook L. Horton,? Erik Oberg,? Franklin D. Jones","919,20","459,60"
Máquinas ferramenta,Horst Witte,"169,20","84,60"
MAQUINAS VIVAS (AS),DANIEL VINCENDON,"74,40","37,20"
Marcenaria e tapeçaria,Santiago Pey Estrany,"99,60","49,80"
MASSAGEM E AUTOMASSAGEM,GAYA GARAUDY,"58,80","29,40"
MATA ATLANTICA,JORGE SATO,"58,80","29,40"
Matemática avançada para engenharia,Dennis Walker A. C. Bajpai Leslie Mustoed,"273,60","136,80"
Matemática para eletrônica,John J Dulin e Victor Veley,"202,80","101,40"
Matemática Para Engenharia,A.C. Bajpai,"264,00","132,00"
MATEMATICA PARA MECANICOS,LUIS PARETO,"78,00","39,00"
Matemática Prática Para Mecânicos,"C Borel, G Calame, Meroz e Perusse","129,60","64,80"
MATERIAIS,A REMY / M GAY / R GONTHIER,"136,80","68,40"
Materiais de Engenharia,Angelo Fernando Padilha,"158,40","79,20"
Mecânica Diesel: caminhões e pick ups,Marco A. M. Rache,"219,60","109,80"
Mecânica e cálculo de estruturas,Luis Pareto,"78,00","39,00"
MEDICINA HOMEOPATICA - COMPENDIO,CARLOS HUMBERTO MACHADO,"64,80","32,40"
Medicina natural ao alcance de todos,Manuel Lezaeta Acharan,"190,80","95,40"
Memórias de um terrorista,Avner,"88,80","44,40"
"Minha Vida, Meus Amores - Volume 1",Henry Spencer Ashbee,"87,60","43,80"
"Minha Vida, Meus Amores - Volume 2",Henry Spencer Ashbee,"99,60","49,80"
"Minha Vida, Meus Amores - Volume 3",Henry Spencer Ashbee,"111,60","55,80"
MINHAS UNIVERSIDADES (AS),MAXIM GORKI,"91,20","45,60"
MISERIA DA FILOSOFIA,KARL MARX,"74,40","37,20"
MISTERIOS DA LUA,ANTONIO FARJANI,"105,60","52,80"
Moderna técnica aberturas no xadrez,Eugenio Znosko Borovsky,"74,40","37,20"
Moldes de injeção,Sergio da Cruz,"127,20","63,60"
MOMENTOS DE REFLEXAO,ELI,"57,60","28,80"
Motores Elétricos,Jason Emirick de Almeida,"97,20","48,60"
MUNDO DOS QUADRUPEDES (O),PAUL CHWAT,"76,80","38,40"
NANA,EMILE ZOLA,"98,00","49,00"
NATACAO ENSINANDO A NADAR,JOAO LOTUFO,"64,80","32,40"
NEXUS - FUNDAMENTOS DA CIENCIA DOS NETWORKS*,MARK BUCHANAN,"67,20","33,60"
NORTE CONTRA SUL,JULIO VERNE,"74,40","37,20"
NOVISSIMO LIVRO DOS SONHOS,PETER KOLOSIMO,"106,80","53,40"
O alemão por imagens,"W. F. MacKey, I. Richards e I. Schmit","111,60","55,80"
O arquipelago em chamas,Júlio Verne,"99,60","49,80"
O conceito de angústia,Soren Kierkegaard,"93,60","46,80"
O continente perdido de Mu,James Churchward,"158,40","79,20"
O crepúsculo dos ídolos,Friedrich Wilhelm Nietzsche,"67,20","33,60"
O Egito dos Faraós,Federico A. Arborio Mella,"192,00","96,00"
O enigma dos maias,P. Guirão,"84,00","42,00"
O Golem,Gustav Meyrink,"97,20","48,60"
O homem e a medicina,Ritchie Calder,"122,40","61,20"
O livro das canções,Heinrich Heine,"88,80","44,40"
O livro dos mortos antigo egito,Tradução Edith de Carvalho Negraes,"111,60","55,80"
O Livro dos mortos dos Maias,Paul Arnold,"111,60","55,80"
O Livro dos mortos: Tibetano,Lama Kazi Dawa Samdup,"159,60","79,80"
O que é a teoria da relatividade,L. Landau e Y. Rumer,"72,00","36,00"
O século dos cirurgiões,Jurgen Thorwald,"154,80","77,40"
O SEXO E SEUS PROBLEMAS,Dr Bero E. Olsen,"58,00","29,00"
O tesouro dos Alquimistas,Jacques Sadoul,"127,20","63,60"
OBRAS ESCOLHIDAS,I P PAVLOV,"88,00","44,00"
ORACULO O LIVRO DO DESTINO,ANONIMO,"63,60","31,80"
Os mestres secretos do tempo,Jacques Bergier,"72,00","36,00"
Os miseráveis,Victor Hugo,"190,80","95,40"
Otimizando a produção com a Metodologia Lean,"J Santos, J Torres e R Wysk","126,00","63,00"
OUTRA VEZ HEIDI,JOHANNA SPYRI,"50,40","25,20"
OVNI E AS CIVILIZACOES EXTRATERRESTRES,GUY TARADE,"86,40","43,20"
PARADIGMA MECANICISTA,RICARDO BORGATTI NETO,"80,40","40,20"
PARAPSICOLOGIA FRONT CIENTIF DA MENTE,J B RHINE,"80,40","40,20"
PETER PAN,J M BARRIE,"75,60","37,80"
Pinóquio,Carlo Collodi,"104,40","52,20"
Pintura Empapelamento Revestimento,Santiago Pey Estrany,"99,60","49,80"
PISCICULTURA NO BRASIL TROPICAL,POSSIDONIO XAVIER REBELO NETO,"90,00","45,00"
PISTAS DE NAZCA (AS),SIMONE WAISBARD,"82,80","41,40"
PLANETA OCEANO (O),MAURICE BRAUD,"72,00","36,00"
PLANTAS DE CASAS,ADRIANO MOTTA,"62,40","31,20"
PLANTAS E PERFUMES,ANTONIETA BARREIRA CRAVO,"58,80","29,40"
PLANTAS MAGICAS (AS) ED REVISTA,PARACELSO,"75,60","37,80"
Plantas medicinais,Francois Balme,"174,00","87,00"
Plásticos moldes e matrizes,"László Sors , László Bardócz e István Radnóti","206,40","103,20"
Pneumática e Hidráulica,Harry L Stewart,"206,40","103,20"
POLITICA (A),ARISTOTELES,"91,20","45,60"
PORTAS DA ATLANTIDA (AS),GUY TARADE,"75,60","37,80"
PRINCIPE COMEN NAPOLEAO BONAPARTE (O),NICCOLO MACHIAVELLI,"74,40","37,20"
Princípios de Filosofia,René Descartes,"61,20","30,60"
Princípios de refrigeração,Roy J. Dossat,"336,00","168,00"
Princípios Fundamentais de Filosofia,Guy Besse,"164,40","82,20"
PROJETOS DE CASAS P/ ARQUIT E CONSTRUT,IVO CECCARINI,"111,60","55,80"
Projetos e instalações hidro sanitárias,Carlo Gabri,"141,60","70,80"
Projetos em arquitetura,Kevin Forseth,"126,00","63,00"
Projetos em engenharia,Peter Polak,"112,80","56,40"
