1984 - A DISTOPIA DO INDIVÍDUO,,,,,
"TOCQUEVILLE, BURKE, PAINE:",Ricardo Luiz de Souza,R$,"37,00",R$
"revolução, democracia e tradição",,,,
TRILHANDO CAMINHOS NA,Joseli Almeida Camargo e Marlene,,,,
DOCÊNCIA EM MATEMÁTICA,Perez (Orgs.),R$,"32,00",R$,"16,00"
TURISMO E GASTRONOMIA NA,,,,,
REGIÃO DOS CAMPOS GERAIS,Rúbia Gisele Tramontin,,,,
DO PARANÁ,Mascarenhas,R$,"65,00",R$,"32,50"
UMA DÉCADA DE POLÍTICAS,,,,,
"AFIRMATIVAS: panorama,","Hilton Costa, André Pinhel, Marcos",,,,
argumentos e resultados,Silva da Silveira (Orgs.),R$,"30,00",R$,"15,00"
UNIVERSIDADE E EDUCAÇÃO,,,,,
BÁSICA: parceria necessária na,Rita de Cássia S. Oliveira Paola,,,,
formação de professores,Andressa Scortegagna (Orgs.),R$,"38,00",R$,"19,00"
VIOLÊNCIA NA ESCOLA: reflexões,,,,,
e análise,Maria das Graças do E. Santo,R$,"29,00",R$,"14,50"
VIVÊNCIAS E EXPERIÊNCIAS NO,Leila Inês F. Freire e Tathiane,,,,
PIBID EM QUÍMICA,Milaré (Orgs.),R$,"32,00",R$,"16,00"
VOCABULÁRIO PARANISTA -,,,,,
2.ed.,Eno Theodoro Wanke,R$,"15,00",R$,"7,50"
