ISBN,Título,Autor,Valor Capa,Valor
"",,,,com desconto
8573351322,FICCAO REUNIDA,"PEREIRA, LUCIA MIGUEL","R$      55,00","R$         27,50"
9788584801374,"FILOSOFIAS DA ALTERIDADE NO SÉCULO DAS LUZES: DIDEROT, FONTENELLE, KANT, RO","PSISNEHAEUIRO, ULYSSES","R$      40,00","R$         20,00"
9788584801343,"FLEXIVEIS, VIRTUAIS E PRECARIOS? OS TRABALHADORES EM TECNOLOGIA DA INFORMA","BAROIDI, MARIA APARECIDA","R$      45,00","R$         22,50"
20458,FORMACAO DE GUARDAS-PARQUES,SANDRO JORGE GARCIA CONEGLIAN,"R$      30,00","R$         15,00"
9788584801213,"FORMACAO DE UM CINEASTA, A: SYLVIO BACK NA CENA CULTURAL DE CURITIBA NOS AN","KSA M19IN60SKI, ROSANE","R$      40,00","R$         20,00"
8573350229,"FORMACAO DO PROFESSOR E A ORG SOCIAL DO TRABALHO, A","MIGUEL, MARIA ELISABETH BLANCK","R$      32,50","R$         16,25"
9788584802173,FORMACAO EM POLITICAS SOBRE DROGAS,"CREMASCO, MARIA VIRGINIA FILOMENA","R$      30,00","R$         15,00"
9788573351781,FOUCAULT E A CRITICA DO SUJEITO,"ARAUJO, INES LACERDA","R$      40,00","R$         20,00"
9788565888721,FOUCAULT: VERDADE E LOUCURA NO NASCIMENTO DA ARQUEOLOGIA,"RIBAS, THIAGO FORTES","R$      25,00","R$         12,50"
9788565888110,FRANCISCO JOSE DE LACERDA E ALMEIDA,"PEREIRA, MAGNUS ROBERTO DE MEL","R$    115,00","R$         57,50"
9788584800360,FROISSART E O TEMPO,"ZINK, MICHEL","R$      40,00","R$         20,00"
9788584800513,GENERO E CONSUMO NO ESPACO DOMESTICO: REPRESENTACOES NA MIDIA DURANTE,"S SAENCTUOLSO,  MXXA RNIAN ÊASR GREIBNETIRINOA  DEO NSO BRASIL","R$      60,00","R$         30,00"
9788584800148,GEODESIA CELESTE,"GEMAEL, CAMIL","R$      35,00","R$         17,50"
9788584801619,"GESTÃO DAS PAIXÕES POLÍTICAS, A","ANSART, PIERRE","R$      40,00","R$         20,00"
9788573352238,GREEN INK,MICHAEL FROME,"R$      40,00","R$         20,00"
9788588912106,GUIA DO OBSERVADOR DE AVES,"STRAUBE, FERNANDO C.","R$      50,00","R$         25,00"
9788584801688,HAMLET NO BRASIL,"MIRANDA, CELIA MARIA ARNS","R$      90,00","R$         45,00"
9788573352795,HANSENIASE: A VOZ DOS QUE SOFRERAM O ISOLAMENTO COMPULSORIO,"NASCIMENTO, DILENE RAIMUNDO DO","R$      35,00","R$         17,50"
9788573351934,HEGEMONIA E CULTURA  GRAMSCI 3a EDICAO REVISADA,"SCHLESENER, ANITA HELENA","R$      40,00","R$         20,00"
9786587448350,HISTÓRIA DA ANÁLISE DO COMPORTAMENTO NO BRASIL EM AUTOBIOGRAFIAS - VOLUME,"1STRAPASSON, BRUNO","R$      48,00","R$         24,00"
9788565888622,HISTORIA DA CLINICA ORTOPEDICA E TRAUMATOLOGICA DA UNIVERSIDADE FEDERAL D,"PPRAERUASNSA, 1A9. 1O2S-2N0Y12","R$      20,00","R$         10,00"
