isbn,TÍTULO Autora,SELO,CAPA,PROMO,,%
9788520004388,Georges Braque POLIGRAFA,"CIVILIZACAO B1R2A4S,I9LEIRA",,,"62,45","-50,00%"
9788503008235,"GERIATRIA EM JACOB,",JOSE,"39,9",,"19,95","-50,00%"
9788577990566,"GETULIO -053 SILVA, JUREMBIRE SMT ACHADO D3A9,9",,,,"19,95","-50,00%"
9788520008003,"GILBERTO FREYRE - UMA LARRELA,",CIVILIZACA,"129,9",,"64,95","-50,00%"
9788528613681,"GOMORRA SAVIANO,",BERTRAND,"59,9",,"29,95","-50,00%"
9788503010221,"GRAMATICA LIMA,",JOSE,"84,9",,"42,45","-50,00%"
9788520005699,"GRAMATICAS DO BIRMAN,",CIVILIZACA,"64,9",,"32,45","-50,00%"
9788520005699,"GRAMATICAS DO EROTISMBOIRMAN, JOELCIVILIZACAO BR6A4S,9ILEIRA",,,,"32,45","-50,00%"
9788501401618,"GRANDE FOME DE MAO, DIKOTTER,",RECORD,"109,9",,"54,95","-50,00%"
9788503012515,"GRANDE FOME, A FANTE,",JOSE,"54,9",,"27,45","-50,00%"
9788577990351,"GRANDE GATSBY, O -036 FITZGERALD, FB.E SSCTO",TT,"34,9",,"17,45","-50,00%"
9788574321349,"GRANDES IMPOSTORES, BONDESON,",DIFEL,"59,9",,"29,95","-50,00%"
9788501088833,"GRAU 26 - A ORIGEM ZUIKER,",RECORD,"64,9",,"32,45","-50,00%"
