Título,Autor,Preço de capa,Preço com desconto
CONFIDENCIAL*,"Leite, Ivana Arruda","R$37,00","R$18,50"
"CONSTRUCAO POLITICA E ECONOMICA DO BRASIL, A","Bresser-Pereira, Luiz Carlos","R$86,00","R$43,00"
"CONTOS DE CANTERBURY, OS","Chaucer, Geoffrey","R$112,00","R$56,00"
CONTOS DE KOLIMA,"Chalámov, Varlam","R$65,00","R$32,50"
CONTOS MARAVILHOSOS INFANTIS E DOMESTICOS,"Grimm, Jacob; Grimm Wilhelm","R$109,00","R$54,50"
CONTOS REUNIDOS,"Dostoiévski, Fiódor","R$98,00","R$49,00"
CONTROVERSIAS SOBRE A CIENCIA,"Shinn, Terry e Ragouet, Pascal","R$54,00","R$27,00"
CONVERSACOES,"Deleuze, Gilles","R$57,00","R$28,50"
CONVERSAS COM CEZANNE,"Dora, Michael e outros","R$66,00","R$33,00"
CONVERSAS COM SOCIOLOGOS BRASILEIROS,"Bastos, E. R., Abrucio, F., Loureiro, M. R., Rego, J. M.","R$86,00","R$43,00"
CONVERSAS DE REFUGIADOS,"Brecht, Bertolt","R$49,00","R$24,50"
COPACABANA: A TRAJETÓRIA DO SAMBA-CANÇÃO,"Mello, Zuza Homem de","R$88,00","R$44,00"
"CORACAO PRONTO PARA O ROUBO, O","Pina, Manuel António","R$49,00","R$24,50"
CRIME E CASTIGO,"Dostoiévski, Fiódor","R$98,00","R$49,00"
CRITICA E CLINICA,"Deleuze, Gilles","R$54,00","R$27,00"
"CROCODILO, O","Dostoiévski, Fiódor","R$49,00","R$24,50"
CRONICA DOS INDIOS GUAYAKI,"Clastres, Pierre","R$65,00","R$32,50"
CRONICAS DE PETERSBURGO,"Dostoiévski, Fiódor","R$42,00","R$21,00"
CROSSROADS,"Lonza, Fúrio","R$54,00","R$27,00"
"CRUZADA DAS CRIANCAS, A","Schwob, Marcel","R$43,00","R$21,50"
CULTURA FILOSOFICA,"Simmel, Georg","R$68,00","R$34,00"
D. QUIXOTE DE LA MANCHA I,"Saavedra, Miguel de Cervantes","R$109,00","R$54,50"
D. QUIXOTE DE LA MANCHA II,"Saavedra, Miguel de Cervantes","R$118,00","R$59,00"
DADA,"Zullo, Germano e Albertine","R$43,00","R$21,50"
"DAMA DE ESPADAS, A","Púchkin, Aleksandr","R$61,00","R$30,50"
"DAMA DO CACHORRINHO, A","Tchekhov, A. P.","R$69,00","R$34,50"
DE ANIMA,Aristóteles,"R$69,00","R$34,50"
DE PONTA-CABECA,"Frias Filho, Otavio","R$52,00","R$26,00"
"DEDO MAGICO, O","Dahl, Roald","R$37,00","R$18,50"
DELEUZE: UMA FILOSOFIA DO ACONTECIMENTO,"Zourabichvili, François","R$49,00","R$24,50"
"DEMONIOS, OS","Dostoiévski, Fiódor","R$108,00","R$54,00"
"DESAFIO DA VONTADE, O","Lavagna, Roberto","R$73,00","R$36,50"
"DESAPARECIDO OU AMERIKA, O","Kafka, Franz","R$72,00","R$36,00"
"DESENCANTAMENTO DO MUNDO, O","Pierucci, Antônio Flávio","R$54,00","R$27,00"
"DESENTENDIMENTO, O","Rancière, Jacques","R$49,00","R$24,50"
"DESGOVERNANCA MUNDIAL DA SUSTENTABILIDADE, A","Veiga, José Eli da","R$45,00","R$22,50"
DESTINO IMPAR,"Garcia, Sylvia Gemignani","R$49,00","R$24,50"
"DIA EM QUE A VERDADE SUMIU, O","Bourdil, Pierre-Yves","R$43,00","R$21,50"
DIALOGOS MAKII DE FRANCISCO ALVES DE SOUZA,"Soares, Mariza de Carvalho ( org. )","R$54,00","R$27,00"
DIANTE DA IMAGEM,"Didi-Huberman, Georges","R$69,00","R$34,50"
DIARIO DE KOSTIA RIABTSEV(NARRATIVAS DA REVOLUÇÃO),"Ognióv, Nikolai","R$68,00","R$34,00"
"DIARIO DE SUSIE, O","Macfarlane, Aidan e McPherson, Ann","R$42,00","R$21,00"
DIARIO DE UM HOMEM SUPERFLUO,"Turguêniev, Ivan","R$42,00","R$21,00"
DIAS ENSOLARADOS NO PARAIZO: MEMÓRIAS,"Lacerda, Brazilia de oliveira","R$41,00","R$20,50"
"DIMENSAO DA NOITE, A","Lafetá, João Luiz","R$87,00","R$43,50"
DIOGO ANTONIO FEIJO,"Caldeira, Jorge (org.)","R$69,00","R$34,50"
"DIVINA COMEDIA, A (3 VOLUMES)","Alighieri, Dante","R$108,00","R$54,00"
"DIVINA COMEDIA, A (EDICAO DE BOLSO)","Alighieri, Dante","R$56,00","R$28,00"
"DIVINA INCRENCA, LA","Bananére, Juó","R$39,00","R$19,50"
DO FREVO AO MANGUEBEAT,"Teles, José","R$69,00","R$34,50"
"DOENCA, A","Barbosa, Domingos Caldas","R$39,00","R$19,50"
"DOENTE IMAGINARIO, O",Molière,"R$39,00","R$19,50"
DOIS HUSSARDOS,"Tolstói, Lev","R$42,00","R$21,00"
DOIS LETRADOS E O BRASIL NACAO,"Prado, Antonio Arnoni","R$68,00","R$34,00"
DOIS REGIMES DE LOUCOS,"Deleuze, Gilles","R$82,00","R$41,00"
DOIS SONHOS,"Dostoiévski, Fiódor","R$57,00","R$28,50"
DOM QUIXOTE I (EDICAO DE BOLSO),"Saavedra, Miguel de Cervantes","R$56,00","R$28,00"
DOM QUIXOTE II (EDICAO DE BOLSO),"Saavedra, Miguel de Cervantes","R$58,00","R$29,00"
DOMINGOS CALDAS BARBOSA,"Tinhorão, José Ramos","R$54,00","R$27,00"
DORA E O SOL,"Stigger, Veronica","R$37,00","R$18,50"
DORIVAL CAYMMI: O MAR E O TEMPO,"Caymmi, Stella","R$98,00","R$49,00"
DOSTOIEVSKI-TRIP,"Sorókin, Vladímir","R$42,00","R$21,00"
DUAS NARRATIVAS FANTASTICAS,"Dostoiévski, Fiódor","R$46,00","R$23,00"
"DUELO, O","Tchekhov, A. P.","R$51,00","R$25,50"
"DUPLA NOITE DAS TILIAS, A","Mazzari, Marcus Vinícius","R$58,00","R$29,00"
"DUPLO, O","Dostoiévski, Fiódor","R$59,00","R$29,50"
E MESMO VOCE?,"Martins, Isabel Minhós; Carvalho, Bernardo P.","R$41,00","R$20,50"
ELA ME DA CAPIM E EU ZURRO,"Corsaletti, Fabrício","R$43,00","R$21,50"
EMPIRISMO E SUBJETIVIDADE,"Deleuze, Gilles","R$49,00","R$24,50"
ENEIDA,Virgílio,"R$120,00","R$60,00"
ENEIDA (EDICAO DE BOLSO),Virgílio,"R$56,00","R$28,00"
ENSAIO DE PONTO,"Giron, Luís Antônio","R$54,00","R$27,00"
"ENSAIO, FRAGMENTO","Ab’Sáber, Tales A. M.","R$43,00","R$21,50"
ENSAIOS,"Montagne, Michel de","R$125,00","R$62,50"
ENSAIOS DE LITERATURA OCIDENTAL,"Auerbach, Erich","R$74,00","R$37,00"
ENSAIOS DE SOCIOLOGIA DA CIENCIA,"Merton, Robert K.","R$72,00","R$36,00"
ENSAIOS REUNIDOS: ESCRITOS SOBRE GOETHE,"Benjamin, Walter","R$52,00","R$26,00"
ENSAIOS SOBRE O MUNDO DO CRIME(CONTOS DE KOLIMÁ 4),"Chalámov, Varlam","R$52,00","R$26,00"
ENTRE A LITERATURA E A HISTORIA,"Bosi, Alfredo","R$86,00","R$43,00"
