TABELA DE PREÇO GIRASSOL,,,
ISBN,DESCRIÇÃO,PREÇO,Desc 50%
9788539419241,PTIT - MINHAS TATUAGENS - PRINCESAS,"R$ 29,90","R$ 14,95"
9788539421060,PTIT - MUNDOS INCRIVEIS - O CINTILANTE MUNDO DA,"R$ 79,90","R$ 39,95"
9788539421084,PTIT - MUNDOS INCRIVEIS - O MUNDO BRILHANTES  D,"R$ 79,90","R$ 39,95"
9788539420896,PTIT - UM PAIS DE CONTOS - CONTOS DA CAROCHINHA,"R$ 59,90","R$ 29,95"
9788539420902,PTIT - UM PAIS DE CONTOS - CONTOS PARA SONHAR,"R$ 59,90","R$ 29,95"
9788539420919,PTIT - UM PAIS DE CONTOS - DOCES CONTOS,"R$ 59,90","R$ 29,95"
9788539424627,QUANTO LIXO!,"R$ 36,90","R$ 18,45"
9788539423705,QUEM SOU EU? - AMIGOS ANIMAIS,"R$ 54,90","R$ 27,45"
9788539423712,QUEM SOU EU? - NO ZOOLOGICO,"R$ 54,90","R$ 27,45"
9786555301052,RZ - DIVERSAO COM OS MOTO-AMIGOS - PASSATEMPOS E B,"R$ 24,90","R$ 12,45"
9786555301045,RZ - MOTO-AMIGOS - O PNEU FURADO,"R$ 32,90","R$ 16,45"
9788539410453,SAUDADE,"R$ 39,90","R$ 19,95"
9788539423682,SOBRE RODAS - A PEQUENA ESCAVADEIRA,"R$ 29,90","R$ 14,95"
9788539423668,SOBRE RODAS - O CAMINHAO DE BOMBEIROS,"R$ 29,90","R$ 14,95"
9788539423699,SOBRE RODAS - O TRATOR TRABALHADOR,"R$ 29,90","R$ 14,95"
9788539423675,SOBRE RODAS -O CARRO DA POLICIA,"R$ 29,90","R$ 14,95"
9788539423354,SORRISO NO ROSTO - NA FAZENDA,"R$ 29,90","R$ 14,95"
9788539423378,SORRISO NO ROSTO - NO FRIO,"R$ 29,90","R$ 14,95"
9788539423521,SUPERFOFOS - AMIGOS DA FAZENDA,"R$ 29,90","R$ 14,95"
9788539423552,SUPERFOFOS - AMIGOS DO ZOOLOGICO,"R$ 29,90","R$ 14,95"
9788539423545,SUPERFOFOS - BICHINHOS DE ESTIMACAO,"R$ 29,90","R$ 14,95"
9788539422630,SUPERLIVRO LARANJA DE COLORIR,"R$ 39,90","R$ 19,95"
9788539422623,SUPERLIVRO ROSA DE COLORIR,"R$ 39,90","R$ 19,95"
9788539419197,TABUADAS COM ADESIVOS - CAPA AZUL,"R$ 29,90","R$ 14,95"
9788539422524,TABUADAS COM ADESIVOS CAPA AMARELA,"R$ 29,90","R$ 14,95"
9786555301007,TIBURCIO,"R$ 36,90","R$ 18,45"
9786555301304,TM - 25 CONTOS - BROCHURA (CAPA ROXA),"R$ 99,90","R$ 49,95"
9788539417711,TM - ALGODAO DOCE - A BELA ADORMECIDA,"R$ 5,90","R$ 2,95"
9788539417650,TM - ALGODÃO DOCE - A PEQUENA SEREIA,"R$ 5,90","R$ 2,95"
9788539417667,TM - ALGODÃO DOCE - A POLEGARZINHA,"R$ 5,90","R$ 2,95"
9788539417681,TM - ALGODÃO DOCE - A ROUPA NOVA DO REI,"R$ 5,90","R$ 2,95"
9788539417704,TM - ALGODÃO DOCE - BRANCA DE NEVE,"R$ 5,90","R$ 2,95"
9788539417735,TM - ALGODÃO DOCE - CHAPEUZINHO VERMELHO,"R$ 5,90","R$ 2,95"
9788539417643,TM - ALGODÃO DOCE - CINDERELA,"R$ 5,90","R$ 2,95"
9788539417766,TM - ALGODÃO DOCE - O GATO DE BOTAS,"R$ 5,90","R$ 2,95"
9788539417698,TM - ALGODÃO DOCE - O PATINHO FEIO,"R$ 5,90","R$ 2,95"
9788539417759,TM - ALGODÃO DOCE - O PEQUENO POLEGAR,"R$ 5,90","R$ 2,95"
9788539417742,TM - ALGODÃO DOCE - O PRÍNCIPE SAPO,"R$ 5,90","R$ 2,95"
9788539417674,TM - ALGODÃO DOCE - O SOLDADINHO DE CHUMBO,"R$ 5,90","R$ 2,95"
9788539417773,TM - ALGODÃO DOCE - RAPUNZEL,"R$ 5,90","R$ 2,95"
9788539421282,TM - ALICE NO PAIS DAS MARAVILHAS,"R$ 74,90","R$ 37,45"
9788539403004,TM - BEM ME QUER - A GRANDE FESTA,"R$ 29,90","R$ 14,95"
9788539403035,TM - BEM ME QUER - CARAMINHOLAS NA CACHOLA,"R$ 29,90","R$ 14,95"
9788539403073,TM - BEM ME QUER - CIRCUITO AVENTURA,"R$ 29,90","R$ 14,95"
9788539403585,TM - BEM ME QUER - PARA SEMPRE NO MEU CORACAO,"R$ 29,90","R$ 14,95"
9786555301038,TM - BEM-ME-QUER - MELHORES AMIGAS PARA SEMPRE,"R$ 29,90","R$ 14,95"
9788539424023,TM - BOX CLASSICOS DE OURO,"R$ 89,90","R$ 44,95"
9788539415915,TM - CLAS. ENCANTADOS 1,"R$ 59,90","R$ 29,95"
9788539416295,TM - CLAS. ENCANTADOS 2,"R$ 59,90","R$ 29,95"
9788539416684,TM - CLAS. ENCANTADOS 3,"R$ 59,90","R$ 29,95"
9788539422876,TM - CLAS. PARA COLORIR - A BELA ADORMECIDA,"R$ 9,90","R$ 4,95"
9788539422838,TM - CLAS. PARA COLORIR - A POLEGARZINHA,"R$ 9,90","R$ 4,95"
9788539422845,TM - CLAS. PARA COLORIR - A ROUPA NOVA DO REI,"R$ 9,90","R$ 4,95"
9788539422883,TM - CLAS. PARA COLORIR - BRANCA DE NEVE,"R$ 9,90","R$ 4,95"
9788539422807,TM - CLAS. PARA COLORIR - CHAPEUZINHO VERMELH,"R$ 9,90","R$ 4,95"
9788539422920,TM - CLAS. PARA COLORIR - CINDERELA,"R$ 9,90","R$ 4,95"
9788539422814,TM - CLAS. PARA COLORIR - JOAO E MARIA,"R$ 9,90","R$ 4,95"
9788539422869,TM - CLAS. PARA COLORIR - O GATO DE BOTAS,"R$ 9,90","R$ 4,95"
9788539422937,TM - CLAS. PARA COLORIR - O PATINHO FEIO,"R$ 9,90","R$ 4,95"
9788539422913,TM - CLAS. PARA COLORIR - O PEQUENO POLEGAR,"R$ 9,90","R$ 4,95"
9788539422906,TM - CLAS. PARA COLORIR - O PRINCIPE SAPO,"R$ 9,90","R$ 4,95"
9788539422821,TM - CLAS. PARA COLORIR - O SOLDADINHO DE CHU,"R$ 9,90","R$ 4,95"
9788539422852,TM - CLAS. PARA COLORIR - RAPUNZEL,"R$ 9,90","R$ 4,95"
9788539418800,TM - CLÁSSICOS ILUSTRADOS (NOVO) - A  POLEGARZINHA,"R$ 12,90","R$ 6,45"
9788539418923,TM - CLÁSSICOS ILUSTRADOS (NOVO) - A BELA ADORMECIDA,"R$ 12,90","R$ 6,45"
9788539418930,TM - CLÁSSICOS ILUSTRADOS (NOVO) - A PEQUENA SEREIA,"R$ 12,90","R$ 6,45"
9788539418817,TM - CLÁSSICOS ILUSTRADOS (NOVO) - A ROUPA NOVA DO REI,"R$ 12,90","R$ 6,45"
9788539418824,TM - CLÁSSICOS ILUSTRADOS (NOVO) - BRANCA DE NEVE,"R$ 12,90","R$ 6,45"
9788539418831,TM - CLÁSSICOS ILUSTRADOS (NOVO) - CHAPEUZINHO VERMELHO,"R$ 12,90","R$ 6,45"
9788539418848,TM - CLÁSSICOS ILUSTRADOS (NOVO) - CINDERELA,"R$ 12,90","R$ 6,45"
9788539418855,TM - CLÁSSICOS ILUSTRADOS (NOVO) - JOÃO E MARIA,"R$ 12,90","R$ 6,45"
9788539418862,TM - CLÁSSICOS ILUSTRADOS (NOVO) - O GATO DE BOTAS,"R$ 12,90","R$ 6,45"
9788539418886,TM - CLÁSSICOS ILUSTRADOS (NOVO) - O PEQUENO POLEGAR,"R$ 12,90","R$ 6,45"
9788539418893,TM - CLÁSSICOS ILUSTRADOS (NOVO) - O PRINCIPE SAPO,"R$ 12,90","R$ 6,45"
9788539418909,TM - CLÁSSICOS ILUSTRADOS (NOVO) - O SOLDADINHO DE CHUMBO,"R$ 12,90","R$ 6,45"
9788539418916,TM - CLÁSSICOS ILUSTRADOS (NOVO) - RAPUNZEL,"R$ 12,90","R$ 6,45"
9788539416691,TM - CLASSICOS PARA SEMPRE - A BELA E A FERA,"R$ 12,90","R$ 6,45"
9788539416707,TM - CLASSICOS PARA SEMPRE - A PRINCESA ARROGANTE,"R$ 12,90","R$ 6,45"
9788539416714,TM - CLASSICOS PARA SEMPRE - A PRINCESA E A ERVILHA,"R$ 12,90","R$ 6,45"
9788539416721,TM - CLASSICOS PARA SEMPRE - ALICE NO PAIS DAS MARAVILHAS,"R$ 12,90","R$ 6,45"
