Título,Autores,Preço,Preço com 50%
Caderno de projetos de telhados em estruturas de madeira,"Moliterno, Antonio (Autor)","R$104,00","R$52,00"
Cálculo avançado - vol1,"Kaplan, Wilfred (Autor), Gomide, Elza","R$91,00","R$45,50"
Cálculo avançado - vol2,"Kaplan, Wilfred (Autor), Gomide, Elza","R$91,00","R$45,50"
Cálculo de várias variáveis,"MacCallum, William G. (Autor),","R$79,00","R$39,50"
Cálculo em quadrinhos,"Gonick, Larry (Autor)","R$37,00","R$18,50"
Caminhando pela psicanálise,"Favilli, Myrna Pia (Autor)","R$70,00","R$35,00"
Casos brasileiros de transformação estratégica,"Wright, James T. C. (Coordenador),","R$90,00","R$45,00"
Catálogo da 10a Bienal Brasileira de Design Gráfico,ADG Brasil (Instituição),"R$293,00","R$146,50"
Catálogo da 11a Bienal Brasileira de Design Gráfico,ADG Brasil (Instituição),"R$194,00","R$97,00"
Catálogo da 12a Bienal Brasileira de Design Gráfico,ADG Brasil (Instituição),"R$260,00","R$130,00"
Catálogo da 5° Bienal Brasileira de Design Floripa 2015,Bienal Brasileira de Design (Instituição),"R$100,00","R$50,00"
Catálogo digital da 10a Bienal Brasileira de Design Gráfico,ADG Brasil (Instituição),"R$36,00","R$18,00"
CEP para processos contínuos e em bateladas,"Ramos, Alberto Wunderler (Autor)","R$70,00","R$35,00"
Charles Darwin: pequenos livros sobre grandes pessoas,"Green, Dan (Autor)","R$44,90","R$22,45"
Ciclo ambiental da água,"Telles, Dirceu D'Alkmin (Organizador)","R$143,00","R$71,50"
Ciência de A a X,"Barthélémy, Pierre (Autor)","R$39,00","R$19,50"
Ciências: Coleção A Reflexão e a Prática no Ensino,"Léllis, Luciana de Oliveira (Autor),","R$46,00","R$23,00"
Cinética química das reações homogêneas,"Silveira, Benedito Inácio da (Autor)","R$104,00","R$52,00"
Clínica da excitação,"Tabacof, Diana (Autor)","R$60,00","R$30,00"
Clínica psicanalítica,"Giovannetti, Marcio de Freitas (Autor)","R$49,00","R$24,50"
Clínica psicanalítica com crianças e adultos,"Meltzer, Donald (Autor), Mélega,","R$114,00","R$57,00"
Como prevenir a Covid-19 em estabelecimentos de ensino,"Bresolin, Karine (Autor)","R$39,00","R$19,50"
Como se cria,"Pazmino, Ana Veronica (Autor)","R$91,00","R$45,50"
Como se faz,"Lefteri, Chris (Autor)","R$108,00","R$54,00"
Companhia viva,"Alvarez, Anne (Autor)","R$98,00","R$49,00"
Composição química dos aços,"Souza, Sérgio Augusto de (Autor)","R$63,00","R$31,50"
