TÍTULO,AUTOR (A),PREÇO CAPA,PREÇO COM DESCONTO
A dramaturgia da memória no teatro-dança,"Sanchez, Licia Maria Morais","R$                 59,90","R$                       29,95"
A economia das trocas simbólicas,"Bourdieu, Pierre","R$                 94,90","R$                       47,45"
A encenação contemporânea,"Pavis, Patrice","R$               104,90","R$                       52,45"
A escola francesa de geografia,"Berdolay, Vicent","R$                 74,90","R$                       37,45"
A escritura e a diferença,"Derrida, Jacques","R$                 99,90","R$                       49,95"
A escritura na era da indeterminação,"Willemart, Philippe","R$                 59,90","R$                       29,95"
A espiritualidade budista I,,"R$              104,90","R$                       52,45"
A espiritualidade budista II,,"R$               124,90","R$                       62,45"
A esquerda difícil,"Fausto, Ruy","R$                 69,90","R$                       34,95"
A estrutura ausente,"Eco, Umberto","R$                 99,90","R$                       49,95"
A Estrutura das revoluções científicas,"Kuhn, Thomas S.","R$                 69,90","R$                       34,95"
A Europa suicida: 1870 - 1933,"Poliakov, Leon","R$                 84,90","R$                       42,45"
A filosofia do judaísmo,"Guttmann, Julius","R$               109,90","R$                       54,95"
A fonte de Judá,"Gorion, Bin","R$               109,90","R$                       54,95"
A fragmentação da personagem,"Candeias, Maria Lucia Levy","R$                 49,90","R$                       24,95"
A gargalhada de Ulisses,"Mendes, Cleise Furtado","R$                 74,90","R$                       37,45"
A gênese da vertigem,"Araujo, Antonio","R$                 74,90","R$                       37,45"
A grande mentira,"Selva, José Maria Martinez","R$                 94,90","R$                       47,45"
A idéia de cidade,"Rykwert, Joseph","R$                 84,90","R$                       42,45"
A ideia do teatro,"Ortega Y Gasset, José","R$                 34,90","R$                       17,45"
A imagem inconsciente do corpo,"Dolto, Françoise","R$                 79,90","R$                       39,95"
A imagem no ensino da arte,"Barbosa, Ana Mae","R$                 54,90","R$                       27,45"
A incorporação vocal do texto,"Silva, Marcela Grandolpho da","R$                 44,90","R$                       22,45"
A lenda do Baal Schem,"Buber, Martin","R$                 59,90","R$                       29,95"
A Liberdade de expressão e as novas mídias,"Valente, Mariana Giorgetti; Gasp","rRia$n ,   T  a  í s  ;   M    5ac4e,9d0o","úRn$io  r  ,   R   o  n  a   l d  o   P 2 o7r,t4o5"
A literatura da república democrática alemã,"Rohl, Ruth; Schwarz, Benhard J.","R$                 64,90","R$                       32,45"
A lógica da criacao literária,"Hamburger, Kate","R$                 74,90","R$                       37,45"
A lógica do erro,"Avilla, Affonso","R$                 64,90","R$                       32,45"
A mais alemã das artes,"Potter, Pamela M.","R$              104,90","R$                       52,45"
A mente segundo Dennett,"Teixeira, João de Fernandes","R$                 49,90","R$                       24,95"
A missão italiana,"Vannucci, Alessandra","R$                 79,90","R$                       39,95"
