"LISTA DE LIVROSFesta Virtual do Livroda USP 2021",,,
TÍTULOAUTOR (A)PREÇO CAPAPREÇO COM DESCONTO,,,
SILENCIOSA ALGAZARRA: REFLEXÕES SOBRE LIVROS E PRÁTICAS DE,,,,
"",ANA MARIA MACHADO (AUTOR),"R$ 54,90",R$,"27,45"
LEITURA,,,,
"","CLOVIS ULTRAMARI (AUTOR), FÁBIO DUARTE",,,
INFLEXÕES URBANAS,,"R$ 38,00",R$,"19,00"
"",(AUTOR),,,
"","DANIEL VERGINELLI GALANTIN (EDITOR), THIAGO",,,
ESPIRITUALIDADE E POLÍTICA NA CONTEMPORANEIDADE,,"R$ 59,90",R$,"29,95"
"",FORBES RIBAS (EDITOR),,,
JOVENS EM CONFLITO COM A LEI: LIBERDADE ASSISTIDA E VIDAS,,,,
"",CEZAR BUENO DE LIMA (AUTOR),"R$ 49,90",R$,"24,95"
INTERROMPIDAS,,,,
AS MÁSCARAS DE ARTAUD,RENAN PAVINI (AUTOR),"R$ 47,90",R$,"23,95"
"","BORTOLO VALLE (AUTOR), PAULO EDUARDO DE",,,
INTRODUÇÃO AO PENSAMENTO DE KARL POPPER,,"R$ 29,90",R$,"14,95"
"",OLIVEIRA (AUTOR),,,
