Título,Autor,Preço de capa,Preço com desconto
"Morte de Iván Ilitch, A","Tolstói, Lev","R$                50,00","R$                      25,00"
MRPA MONIT.RESID.PRESSAO ARTE,"MIAiLon Jr., Décio / Nobr",",R F$er  n  a n  d  o   /  1G1o1m,0e0s,","Ra$r c  o    A   n  t  o  n  i o    M55o,t5a0"
MUDANCAS CLIMATICAS-CORTESE,"Cortese, Tatiana Tucu","dRu$va    P  . /    N  a  t a  7lin5i,,0 G0il","eRr$to    ( o  r  g  s  . )   /  P   h3 i7li,p5p0i,"
Mussolini e Hitler - A fraude da aliança fasci,"tGaoeschel, Christian","R$              129,00","R$                      64,50"
Não Fiz Minha Lição de Casa Porque...,"Cali, Davide / Chaud,","eRnj$a m   in            41,00","R$                      20,50"
"Napoleão, Uma Vida","Cronin, Vincent","R$                70,00","R$                      35,00"
NATACAO 2-ED.,"Stager, Joel M. / Tann","rR, D$a  v i d   A  .     133,00","R$                      66,50"
NEUROC.CLINICA E REABIL-SCHENK,"SAchNenkman, Margare","LR. /$ B  o  w  m   a  n  ,3 J4am1,e0s0 P","/R G$ i s  b  e  r  t ,   R  o   b 1y7n0 L,5. /0"
NOSSA ESCOLHA,Al Gore,"R$                90,00","R$                      45,00"
Nossa Escolha - Um Plano Para Solucionar,A Cl rGisoer eClimática,"R$                90,00","R$                      45,00"
NUTR. VISAO ATUAL E DO FUTURO,"Lara, Roberta Soares","NRat$a c  c i ,  L  a r  a  C  7ri8st,0ia0n","(RO$r g  . )                  39,00"
O AMOR E A CURA - ELTON JOHN,"John, Elton","R$                48,00","R$                      24,00"
O MEDICO ELEGANTE,"Araújo, Abelardo","R$              124,00","R$                      62,00"
O Novo Czar - Acensão e Reinado de Vladi,"iMr Pyeurtisn, Steven Lee","R$              132,00","R$                      66,00"
O QUE O MEU BEBE ESTA PENSAND,"Woolfson, Richard","R$                78,00","R$                      39,00"
OFTALMOLOGIA-COL.HC PEDIATRIA-,"GRraAzZiaInAoN, ORosa Maria","PRo$la  t i ,  M   a r  i z 2a0 /4 C,r0e0st","nRa$,   A   n  a   B   e  a  t  r 1iz0 S2., 0U0n"
Olho por Olho,Laurabeatriz / Lalau,"R$                30,00","R$                      15,00"
OLHO POR OLHO-LAURABEATRIZ,Laurabeatriz / Lalau,"R$                30,00","R$                      15,00"
Oliver Twist,"Dickens, Charles","R$              112,00","R$                      56,00"
ONCOLOGIA GINECOLOGICA-MAN.C,"FNigDu.ePirRaA, PTa.tFrIícSiaIO / TM. a","NxR,C A$On  Lg  eO l a G   / I AP  a- F im 8IG9, ,NU0a0EirI","(eRAd$i t  o  r  a  s  )   M    a  r  c 4 h4o,n5,0 R"
PACIENTE COM CANCER- GIGLIO,"Giglio, Auro Del / Holt",", RLu$c  ia  n  a   K a  l i k  s3,5 R,0af0a","l R/ $                      17,50"
"PAIS, MAES E CIA.-GRINFELD","Grinfeld, Hermann","R$                39,00","R$                      19,50"
Pantanal - Coleção Imagens do Brasil,"Alcântara, Araquém","R$              174,00","R$                      87,00"
Pedro O Grande - Sua Vida e Seu Mundo,"Massie, Robert K.","R$              157,00","R$                      78,50"
"PEIXE ARCO-IRIS A BALEIA AZUL,O","Pfister, Marcus","R$                40,00","R$                      20,00"
"PEIXE ARCO-IRIS SOCORRO,O","Pfister, Marcus","R$                40,00","R$                      20,00"
"PEIXE ARCO-IRISA MONSTROS, O","Pfister, Marcus","R$                40,00","R$                      20,00"
Peixinho do Arco-Íris Descobre o Fundo do,"Pafri,s Oter, Marcus","R$                40,00","R$                      20,00"
"Peixinho do Arco-Íris e a Baleia Azul, O","Pfister, Marcus","R$                40,00","R$                      20,00"
"Peixinho do Arco-Íris e os Monstros, O","Pfister, Marcus","R$                40,00","R$                      20,00"
"Peixinho do Arco-Íris Está Perdido, O","Pfister, Marcus","R$                40,00","R$                      20,00"
"Peixinho do Arco-Íris, Socorro!","Pfister, Marcus","R$                40,00","R$                      20,00"
PEQUENO PRINCIPE NO PLAN. DO G,"SRaGinAt-NExDupéry, Antoin","R$                33,00","R$                      16,50"
PEQUENO PRINCIPE NO PLAN.DO G,"ASaNinDt-EE xBuUpéFrAy,O Antoin","R$                33,00","R$                      16,50"
PEQUENO PRINCIPE NO PLANETA D,"S GaiEntH-EOxuMpéry, Antoin","R$                33,00","R$                      16,50"
PEQUENO PRINCIPE NO PLANETA D,"S LaUinDt-EOxKupAéAry, Antoin","R$                33,00","R$                      16,50"
PEQUENO PRINCIPE NO PLANETA D,"S TaiEnMt-EPxOupéry, Antoin","R$                33,00","R$                      16,50"
PEQUENO PRINCIPE NO PLANETA D,"Sa iAnMt-EICxuOpPérEy,S Antoin","R$                33,00","R$                      16,50"
PEQUENO PRINCIPE NO PLANETA D,"Sa iCntA-ERxAupPéOryD, EAntoin","R$                33,00","R$                      16,50"
PEQUENO PRINCIPE NO PLANETA D,"Sa iOntL-EHxOupSéry, Antoin","R$                33,00","R$                      16,50"
"Pequeno Príncipe, O - No Planeta da Música","S- avionlt.- E3xupéry, Antoin","R$                33,00","R$                      16,50"
"Pequeno Príncipe, O - No Planeta das Lacri","Saavionrta-Esx -u vpoélr. y1, 3Antoin","R$                33,00","R$                      16,50"
"Pequeno Príncipe, O - No Planeta de Jade -","Soal.in 4t-Exupéry, Antoin","R$                33,00","R$                      16,50"
"Pequeno Príncipe, O - No Planeta do Bubble","SGaoinbt -E vxoul.p 1é7ry, Antoin","R$                33,00","R$                      16,50"
"Pequeno Príncipe, O - No Planeta do Garga","dSa -i nvto-lE. x1u5péry, Antoin","R$                33,00","R$                      16,50"
"Pequeno Príncipe, O - No Planeta do Geho","S-a vinolt.- E1x6upéry, Antoin","R$                33,00","R$                      16,50"
"Pequeno Príncipe, O - No Planeta do Gigant","S -a ivnotl-.E 9xupéry, Antoin","R$                33,00","R$                      16,50"
"Pequeno Príncipe, O - No Planeta do Grand","SBauinfãt-oE x- uvpoél.r 1y,4 Antoin","R$                33,00","R$                      16,50"
