"FESTA VIRTUALDO LIVRO DA USP 2021Lista de títulos",,,
TÍTULO,AUTOR(A),"PREÇODE CAPA","PREÇOCOM DESCONTO"
O PARDALZINHO DESCONFIADO,Maria de Jesus Fortuna Lima,"R$ 15,00","R$ 7,50"
O PEQUENO POLEGAR,Cristina Agostinho; Ronaldo Simões Coelho,"R$ 40,00","R$ 20,00"
O PRIMEIRO MENINO,Edimilson de Almeida Pereira,"R$ 35,00","R$ 17,50"
O PRÍNCIPE DA BEIRA,Josias Marinho,"R$ 30,00","R$ 15,00"
O SILÊNCIO DO RIO COMPRIDO,Lélio Fabiano dos Santos,"R$ 40,00","R$ 20,00"
OS NOVE PENTES D'ÁFRICA,Cidinha da Silva,"R$ 30,00","R$ 15,00"
OLHAR DE ESPANTO,Márcia Carrano,"R$ 30,00","R$ 15,00"
OMO-OBA: HISTÓRIAS DE PRINCESAS,Kiusam de Oliveira,"R$ 40,00","R$ 20,00"
ORANYAM E A GRANDE PESCARIA,Dayse Cabral de Moura,"R$ 35,00","R$ 17,50"
OS COMEDORES DE PALAVRAS,Edimilson de Almeida Pereira,"R$ 30,00","R$ 15,00"
OS ORIXÁS NA VIDA DOS QUE NELES ACREDITAM (ÁLBUM),Maria de Lourdes Siqueira,"R$ 60,00","R$ 30,00"
OUTRA EDUCAÇÃO É POSSÍVEL,Luana Tolentino,"R$ 40,00","R$ 20,00"
OUVINDO ESTRELAS,José Mauro da Costa (Org.),"R$ 40,00","R$ 20,00"
PANELA DE BARRO E COLHER DE PAU,Nará Souza Oliveira,"R$ 35,00","R$ 17,50"
PAPELÃO,Rogério Rodrigues,"R$ 20,00","R$ 10,00"
PEQUENAS ALEGRIAS,Neusa Sorrenti,"R$ 35,00","R$ 17,50"
"PESQUISAS SOBRE CURRÍCULOS,GÊNEROS E SEXUALIDADES",Marlucy Alves Paraíso; Maria Carolina Alves Caldeira,"R$ 60,00","R$ 30,00"
POEMARYPROSA,Cuti,"R$ 35,00","R$ 17,50"
POEMAS DE TERREIRO E ORIXÁS,Cyro de Mattos,"R$ 35,00","R$ 17,50"
POEMAS PARA ILUMINAR A NOITE,Paulo Gabriel,"R$ 30,00","R$ 15,00"
POEMAS PARA LER COM PALMAS,Edimilson de Almeida Pereira,"R$ 50,00","R$ 25,00"
POÉTICAS AFRO-BRASILEIRAS,Maria do Carmo Lanna; Maria Nazareth Fonseca,"R$ 50,00","R$ 25,00"
"POLÍTICOS, LITERATOS, PROFESSORAS, INTELECTUAIS",Luciano Mendes; Marcilaine Soares (Orgs.),"R$ 35,00","R$ 17,50"
"POPULAÇÃO NEGRA, ESCRAVISMO E EDUCACÃO NO BRASIL",Vera Lúcia Nogueira (Org.),"R$ 45,00","R$ 22,50"
PROFESSORAS NEGRAS: TRAJETÓRIAS E TRAVESSIAS,Patricia Santana,"R$ 40,00","R$ 20,00"
"PROGRESSO, TRABALHO E EDUCACAOO PROFISSIONAL EM MINAS GERAIS",Irlen Antônio Gonçalves (Org.),"R$ 40,00","R$ 20,00"
QUE COR É A MINHA COR?,Martha Rodrigues,"R$ 20,00","R$ 10,00"
QUERO SER DO MEU TAMANHO,Angélica Sátiro,"R$ 30,00","R$ 15,00"
QUILOMBOS E QUILOMBOLAS,Alexandre Lobão,"R$ 45,00","R$ 22,50"
"RACA, COR E DIFERENÇA",Wilma de Nazaré Baía Coelho; Mauro Cezar Coelho,"R$ 45,00","R$ 22,50"
RAPUNZEL E O QUIBUNGO,Cristina Agostinho; Ronaldo Simões Coelho,"R$ 40,00","R$ 20,00"
RASTROS DE ÁFRICA NO BRASIL,Vânia Noronha,"R$ 45,00","R$ 22,50"
RASURAS NO ESPELHO DE NARCISO,Rosália Diogo,"R$ 35,00","R$ 17,50"
RECITAÇÃO DA PASSAGEM,Maria José Somerlate Barbosa,"R$ 40,00","R$ 20,00"
RECONTOS DO JEQUITINHONHA E... ALHURES,Carolina Antunes,"R$ 35,00","R$ 17,50"
REENCONTROS NA TRAVESSIA,FátimaOliveira,"R$ 35,00","R$ 17,50"
REINADO E PODER NO SUL DAS MINAS GERAIS,Maria José de Souza (Tita),"R$ 70,00","R$ 35,00"
RELAÇÕES ÉTNICO-RACIAIS E EDUCAÇÃO NO BRASIL,Marcus Vinícius Fonseca; Carolina Mostaro; Alexsandra Bor,"esR$ 45,00","R$ 22,50"
REPRESENTAÇÕES PERFORMÁTICAS BRASILEIRAS,Marcos Antônio Alexandre,"R$ 40,00","R$ 20,00"
RIO ABAIXO: VAQUEIROS E MULHERES DE MUQUE,Domigos Diniz,"R$ 40,00","R$ 20,00"
SANGA,Cuti,"R$ 40,00","R$ 20,00"
SETE DIÁSPORAS ÍNTIMAS,Lande Onawale,"R$ 40,00","R$ 20,00"
SOCIABILIDADE E AÇÕES COLETIVAS: PROCESSOS EDUCATIVOS EM CONTEXTOS E,CIzOa LRAoRdEriSgu Ee sN dÃaO L EuzS;C LOuLizA ARlbEeSrto Oliveira Gonçalves,"R$ 45,00","R$ 22,50"
"SUJEITOS DA EDUCAÇÃO: DIVERSIDADE, DIREITOS E PARTICIPAÇÃO POLÍTICA",Carmem Lúcia Eiterer; Iza Rodrigues da Luz,"R$ 40,00","R$ 20,00"
"SUJEITOS SOCIAIS, PROCESSOS EDUCATIVOS E ENFRENTAMENTOS DA EXCLUSÃO",Carmem Lúcia Eiterer; Rogério Cunha Campos,"R$ 45,00","R$ 22,50"
