"",,,,,"Lista delivros FestaVirtual dolivro da USP2021",
"",,,,,,
Título,ISBN,Autor,Preço Capa,Desc,,Preço com d
ESCUTA,,,,,,
"Deformação do Psicanalista, A",9788571373921,FINGUERMAN,"R$       77,00",50%,"R$          38,50"
Diferenças Sexuais,9788571371507,Gérard Bonnet,"R$       71,00",50%,"R$          35,50"
Paixanaliticom: Psicanálise E Comicidade,9786559060009,,"R$        95,00",50%,"R$          47,50"
A Mente Do Analista,9786559060054,Luís Claudio Figueiredo,"R$        42,00",50%,"R$          21,00"
"Depressão, Estação Psique",9788571371897,Daniel Delouya,"R$        69,00",50%,"R$          34,50"
Mancar Não É Pecado,9788571370579,Lucien Israël,"R$     114,00",50%,"R$          57,00"
"Neurose Obsessiva, A",9788571372184,Bernard Brusset,"R$       80,00",50%,"R$          40,00"
"Pulsão Espetacular, Uma",9788571371202,Mauro Pergaminik Meiches,"R$       97,00",50%,"R$          48,50"
Extrasexo,9788571370524,Catherine Millot,"R$        53,00",50%,"R$          26,50"
Casta Diva,9788571373068,Alfredo Naffah Neto,"R$       57,00",50%,"R$          28,50"
Psicanálise Em Trabalho,9788571373273,Silvia Leonor Alonso,"R$        90,00",50%,"R$          45,00"
"Cuidado, Saúde E Cultura",9788571373525,Luís Claudio Figueiredo,"R$        65,00",50%,"R$          32,50"
"Diversas Faces Do Cuidar, As",9788571372917,Luís Claudio Figueiredo,"R$        88,00",50%,"R$          44,00"
Clarice Lispector - A Paixão Segundo C. L.,9788571370586,Berta Waldman,"R$       72,00",50%,"R$          36,00"
História Da Psicanálise - São Paulo - 1920-1969,9788571372436,Carmen Lucia Montechi Vallad,"reRs$ d  e   O 12li8v,e0i0ra",50%,"R$          64,00"
Qui Nem Jiló,9788571373594,Victor Palomo,"R$       76,00",50%,"R$          38,00"
Angústia,9788571372009,Vera Lopes Besset,"R$        83,00",50%,"R$          41,50"
Construção Da Pessoa Em Wallon E A Constituição Do Sujeito Em,"L9a7c8a8n5, 7A1373631",Alice Beatriz B. Izique Bastos,"R$       55,00",50%,"R$          27,50"
Notas de Psicologia e Psiquiatria Social,9788571370098,Armando Bauleo,"R$        56,00",50%,"R$          28,00"
Anima - Animus De Todos Os Tempos,9788571374140,Maria Zelia de Alvarenga,"R$        96,00",50%,"R$          48,00"
Psicanalise e Instituições Para a Primeira Infancia,9788571374386,ANA FRANCISCA LUNARD,"LIR J$A  C   I N  6T4O,00",50%,"R$          32,00"
"Corpos, Sexualidades, Diversidade",9788571374003,Helena M. F. M. Albuquerque,"R$      112,00",50%,"R$          56,00"
Kant No Brasil,9788571372429,Daniel Omar Perez,"R$      118,00",50%,"R$          59,00"
Criança: Objeto Ou Sujeito - 15 Anos da Rede de Psicanálise e Infâ,9ci7a8 d8o5 7F1c3l-7s3p815,Ana Laura Prates Pacheco,"R$       90,00",50%,"R$          45,00"
Controvérsias Psicanalíticas,9780005345924,Haroldo Pedreira,"R$     115,00",50%,"R$          57,50"
